trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.5401445627212524,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.3362249433994293,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.6467984914779663,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.6641793251037598,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.6540628671646118,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.47857919335365295,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.3886767625808716,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.6340262293815613,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.6268195509910583,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.29909372329711914,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.568609356880188,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.6476965546607971,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.628271222114563,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.6022449731826782,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.3002623915672302,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.6176549196243286,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.5891383290290833,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.2995861768722534,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.6386315226554871,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.6516478657722473,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.6484475135803223,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.5951446294784546,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.30271968245506287,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.6291664242744446,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.6584069132804871,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.3513733148574829,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.4624217748641968,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.6593214273452759,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.6476699709892273,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.6436930894851685,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.46916431188583374,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.5492711067199707,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.5948048830032349,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.438070684671402,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.6207970976829529,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.6503735780715942,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.6598625779151917,0.03134772783433069
37,37_0,COMPLETED,Sobol,-0.4257802963256836,182.94294550269228
38,38_0,COMPLETED,Sobol,-0.33456557989120483,82.39707263021225
39,39_0,COMPLETED,Sobol,-0.6417222023010254,0.07727873004408126
40,40_0,COMPLETED,Sobol,-0.6276838183403015,0.3322826650782107
41,41_0,COMPLETED,Sobol,-0.31100496649742126,47.257289227670434
42,42_0,COMPLETED,Sobol,-0.5918329954147339,873.7176600494571
43,43_0,COMPLETED,Sobol,-0.6265552043914795,0.019959923620427623
44,44_0,COMPLETED,Sobol,-0.6509325504302979,0.0056100797167082
45,45_0,COMPLETED,Sobol,-0.6380741596221924,3145.0665253620828
46,46_0,COMPLETED,Sobol,-0.29449522495269775,21.051445604830217
47,47_0,COMPLETED,Sobol,-0.6356692910194397,0.7372471767893256
48,48_0,COMPLETED,Sobol,-0.6155328750610352,0.6133363216244101
49,49_0,COMPLETED,Sobol,-0.32081010937690735,10.604055266782089
50,50_0,COMPLETED,BoTorch,-0.28933557868003845,24.638548118737425
51,51_0,COMPLETED,BoTorch,-0.29115042090415955,32.50442619741788
52,52_0,COMPLETED,BoTorch,-0.3032039701938629,22.899014984876267
53,53_0,COMPLETED,BoTorch,-0.2995249629020691,26.19177286780457
54,54_0,COMPLETED,BoTorch,-0.2846266031265259,35.57699538721127
55,55_0,COMPLETED,BoTorch,-0.28240007162094116,30.184664099022005
56,56_0,COMPLETED,BoTorch,-0.3036192059516907,39.78556345288424
57,57_0,COMPLETED,BoTorch,-0.3009450137615204,27.173180423199952
58,58_0,COMPLETED,BoTorch,-0.2846919596195221,20.07918634320519
59,59_0,COMPLETED,BoTorch,-0.2792811095714569,23.712097398605913
60,60_0,COMPLETED,BoTorch,-0.28148359060287476,22.005697073050456
61,61_0,COMPLETED,BoTorch,-0.3015243709087372,25.416189766749188
62,62_0,COMPLETED,BoTorch,-0.2859047055244446,29.072413373448967
63,63_0,COMPLETED,BoTorch,-0.2968369424343109,19.214687830163786
64,64_0,COMPLETED,BoTorch,-0.2902618646621704,31.219999562657126
65,65_0,COMPLETED,BoTorch,-0.2901872396469116,34.360810188497695
66,66_0,COMPLETED,BoTorch,-0.30195337533950806,26.60209201388421
67,67_0,COMPLETED,BoTorch,-0.27336785197257996,22.415786725441716
68,68_0,COMPLETED,BoTorch,-0.27714961767196655,21.568996041654604
69,69_0,COMPLETED,BoTorch,-0.2826620936393738,24.112705136543028
70,70_0,COMPLETED,BoTorch,-0.2827897369861603,23.35971478632535
71,71_0,COMPLETED,BoTorch,-0.28976738452911377,26.598696528512086
72,72_0,COMPLETED,BoTorch,-0.3017830550670624,25.038757576787713
73,73_0,COMPLETED,BoTorch,-0.2737647294998169,20.718785796572664
74,74_0,COMPLETED,BoTorch,-0.3040015995502472,38.18579886849884
75,75_0,COMPLETED,BoTorch,-0.28662899136543274,18.556995712953015
76,76_0,COMPLETED,BoTorch,-0.29580050706863403,19.589452689938824
77,77_0,COMPLETED,BoTorch,-0.29239267110824585,25.74159016462991
78,78_0,COMPLETED,BoTorch,-0.288485050201416,23.064324691407222
79,79_0,COMPLETED,BoTorch,-0.2820642590522766,22.12469434889479
80,80_0,COMPLETED,BoTorch,-0.2865760028362274,23.702837087517665
81,81_0,COMPLETED,BoTorch,-0.27559536695480347,22.133026648322776
82,82_0,COMPLETED,BoTorch,-0.29349690675735474,20.23719398616854
83,83_0,COMPLETED,BoTorch,-0.3025403618812561,24.614538758108292
84,84_0,COMPLETED,BoTorch,-0.2921885848045349,24.149436022952028
85,85_0,COMPLETED,BoTorch,-0.279401570558548,21.6100229467498
86,86_0,COMPLETED,BoTorch,-0.2882271409034729,21.023088680112508
87,87_0,COMPLETED,BoTorch,-0.2938343286514282,19.449652354800726
88,88_0,COMPLETED,BoTorch,-0.284027636051178,21.18526499534561
89,89_0,COMPLETED,BoTorch,-0.30793625116348267,17.201960156674488
90,90_0,COMPLETED,BoTorch,-0.296526700258255,27.612722157520217
91,91_0,COMPLETED,BoTorch,-0.27932658791542053,25.427312169687045
92,92_0,COMPLETED,BoTorch,-0.28791332244873047,22.721655290378084
93,93_0,COMPLETED,BoTorch,-0.283672958612442,20.460194901979744
94,94_0,COMPLETED,BoTorch,-0.28111281991004944,29.044712640606797
95,95_0,COMPLETED,BoTorch,-0.270839661359787,18.46944671617505
96,96_0,COMPLETED,BoTorch,-0.3005102872848511,23.381983004749305
97,97_0,COMPLETED,BoTorch,-0.290926992893219,21.781534439627734
98,98_0,COMPLETED,BoTorch,-0.30219054222106934,36.42567519748204
99,99_0,COMPLETED,BoTorch,-0.2982773780822754,33.91295562789139
100,100_0,COMPLETED,BoTorch,-0.2932804524898529,22.402334226501097
101,101_0,COMPLETED,BoTorch,-0.28885695338249207,20.491022800671928
102,102_0,COMPLETED,BoTorch,-0.2881028950214386,18.9285476350922
103,103_0,COMPLETED,BoTorch,-0.3079887628555298,40.138309335667515
104,104_0,COMPLETED,BoTorch,-0.3010771870613098,21.314809086316693
105,105_0,COMPLETED,BoTorch,-0.30874940752983093,19.961954083250692
106,106_0,COMPLETED,BoTorch,-0.30143558979034424,26.173574901841654
107,107_0,COMPLETED,BoTorch,-0.2983117401599884,24.07515121533282
