trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.6412097811698914,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.5735284686088562,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.6753827929496765,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.6826004981994629,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.6685040593147278,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.5550047755241394,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.4544987082481384,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.6407806873321533,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.6657635569572449,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.47132906317710876,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.6484696865081787,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.6725181937217712,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.6842086315155029,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.6895132064819336,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.5302262306213379,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.6426193714141846,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.6530558466911316,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.4953784942626953,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.7083754539489746,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.650775671005249,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.6754530668258667,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.6996745467185974,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.38994988799095154,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.7013149261474609,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.6795310974121094,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.4803776741027832,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.4612284302711487,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.6600624322891235,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.7130893468856812,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.6789121627807617,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.6016883254051208,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.6613389849662781,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.6644344925880432,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.5877845287322998,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.6924382448196411,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.6843635439872742,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.6642443537712097,0.03134772783433069
37,37_0,COMPLETED,Sobol,-0.4737280607223511,182.94294550269228
38,38_0,COMPLETED,Sobol,-0.4398338794708252,82.39707263021225
39,39_0,COMPLETED,Sobol,-0.6676968336105347,0.07727873004408126
40,40_0,COMPLETED,Sobol,-0.6549788117408752,0.3322826650782107
41,41_0,COMPLETED,Sobol,-0.45227599143981934,47.257289227670434
42,42_0,COMPLETED,Sobol,-0.6754092574119568,873.7176600494571
43,43_0,COMPLETED,Sobol,-0.6987159252166748,0.019959923620427623
44,44_0,COMPLETED,Sobol,-0.6880059242248535,0.0056100797167082
45,45_0,COMPLETED,Sobol,-0.6906508803367615,3145.0665253620828
46,46_0,COMPLETED,Sobol,-0.4866481423377991,21.051445604830217
47,47_0,COMPLETED,Sobol,-0.6701171398162842,0.7372471767893256
48,48_0,COMPLETED,Sobol,-0.6540949940681458,0.6133363216244101
49,49_0,COMPLETED,Sobol,-0.5464078783988953,10.604055266782089
50,50_0,COMPLETED,BoTorch,-0.3781118392944336,71.51461043641612
51,51_0,COMPLETED,BoTorch,-0.44048911333084106,57.380135306731404
52,52_0,COMPLETED,BoTorch,-0.45712023973464966,76.75891640473814
53,53_0,COMPLETED,BoTorch,-0.4431760907173157,67.15538110144054
54,54_0,COMPLETED,BoTorch,-0.4329753816127777,53.16116618469449
55,55_0,COMPLETED,BoTorch,-0.42233219742774963,87.77012414930131
56,56_0,COMPLETED,BoTorch,-0.43876099586486816,60.89243974930894
57,57_0,COMPLETED,BoTorch,-0.46144211292266846,74.20507665701005
58,58_0,COMPLETED,BoTorch,-0.4251328706741333,36.55216576378007
59,59_0,COMPLETED,BoTorch,-0.46724647283554077,50.84985951163912
60,60_0,COMPLETED,BoTorch,-0.47306105494499207,69.23200607649754
61,61_0,COMPLETED,BoTorch,-0.5054483413696289,93.58859438505645
62,62_0,COMPLETED,BoTorch,-0.42916521430015564,41.59465162505102
63,63_0,COMPLETED,BoTorch,-0.44619908928871155,55.180176604876124
64,64_0,COMPLETED,BoTorch,-0.4636009633541107,59.04610719057565
65,65_0,COMPLETED,BoTorch,-0.4790025055408478,65.61680228819984
66,66_0,COMPLETED,BoTorch,-0.4402279555797577,44.64609467265605
67,67_0,COMPLETED,BoTorch,-0.4314482808113098,49.20800425943751
68,68_0,COMPLETED,BoTorch,-0.4523776173591614,79.85327788998684
69,69_0,COMPLETED,BoTorch,-0.4132028818130493,51.98541723574344
70,70_0,COMPLETED,BoTorch,-0.4158778190612793,56.46948000904829
71,71_0,COMPLETED,BoTorch,-0.43375664949417114,43.09082450370716
72,72_0,COMPLETED,BoTorch,-0.4274592995643616,54.205103515379605
73,73_0,COMPLETED,BoTorch,-0.47237837314605713,62.0040142286093
74,74_0,COMPLETED,BoTorch,-0.48500072956085205,39.44172770055089
75,75_0,COMPLETED,BoTorch,-0.479672372341156,46.02336102108125
76,76_0,COMPLETED,BoTorch,-0.4365929663181305,64.44235384141395
77,77_0,COMPLETED,BoTorch,-0.4161989390850067,72.88032482425534
78,78_0,COMPLETED,BoTorch,-0.4415249228477478,60.095426241342935
79,79_0,COMPLETED,BoTorch,-0.4546058773994446,85.95472065491134
80,80_0,COMPLETED,BoTorch,-0.4141429662704468,58.13512601124732
81,81_0,COMPLETED,BoTorch,-0.4368647336959839,48.37533892509384
82,82_0,COMPLETED,BoTorch,-0.4486246705055237,70.28203274024064
83,83_0,COMPLETED,BoTorch,-0.4422069191932678,68.38714187186015
84,84_0,COMPLETED,BoTorch,-0.42078492045402527,123.14229664559117
85,85_0,COMPLETED,BoTorch,-0.4063858687877655,89.66344071459258
86,86_0,COMPLETED,BoTorch,-0.42157885432243347,84.11372826814514
87,87_0,COMPLETED,BoTorch,-0.49152931571006775,104.63290935772488
88,88_0,COMPLETED,BoTorch,-0.4351962208747864,75.48115986763649
89,89_0,COMPLETED,BoTorch,-0.4566943645477295,78.12841344091707
90,90_0,COMPLETED,BoTorch,-0.45649048686027527,57.39489969043439
91,91_0,COMPLETED,BoTorch,-0.43926969170570374,70.27030598702581
92,92_0,COMPLETED,BoTorch,-0.4316330552101135,107.09521474385583
93,93_0,COMPLETED,BoTorch,-0.47731447219848633,96.44303357689607
94,94_0,COMPLETED,BoTorch,-0.42263084650039673,66.82032539499396
95,95_0,COMPLETED,BoTorch,-0.46142783761024475,61.46741418755519
96,96_0,COMPLETED,BoTorch,-0.42188185453414917,108.4437348273533
97,97_0,COMPLETED,BoTorch,-0.4416172504425049,40.04503144481669
98,98_0,COMPLETED,BoTorch,-0.42133283615112305,65.29332211990993
99,99_0,COMPLETED,BoTorch,-0.4093335270881653,100.92241784024324
100,100_0,COMPLETED,BoTorch,-0.45703354477882385,42.132537141948596
101,101_0,COMPLETED,BoTorch,-0.4192923605442047,74.34323311591977
102,102_0,COMPLETED,BoTorch,-0.4422808289527893,92.732525761788
103,103_0,COMPLETED,BoTorch,-0.4406181871891022,66.97565579290618
104,104_0,COMPLETED,BoTorch,-0.426698237657547,82.17187152347961
105,105_0,COMPLETED,BoTorch,-0.4230470359325409,63.184164777288565
106,106_0,COMPLETED,BoTorch,-0.4419645667076111,72.84968630036175
107,107_0,COMPLETED,BoTorch,-0.4132355749607086,78.31968748791687
108,108_0,COMPLETED,BoTorch,-0.454806923866272,39.96685537425442
109,109_0,COMPLETED,BoTorch,-0.44028717279434204,73.09617408910502
110,110_0,COMPLETED,BoTorch,-0.42485764622688293,80.46985350877193
111,111_0,COMPLETED,BoTorch,-0.4516008794307709,67.94572330537522
112,112_0,COMPLETED,BoTorch,-0.444671630859375,75.88922078653592
113,113_0,COMPLETED,BoTorch,-0.4619331359863281,84.82856000905167
114,114_0,COMPLETED,BoTorch,-0.4185903072357178,71.32935993116683
115,115_0,COMPLETED,BoTorch,-0.4878963232040405,71.65304202749292
116,116_0,COMPLETED,BoTorch,-0.45302754640579224,59.1520509439673
117,117_0,COMPLETED,BoTorch,-0.4683486223220825,86.72238900931806
118,118_0,COMPLETED,BoTorch,-0.4793328046798706,60.862851061012364
119,119_0,COMPLETED,BoTorch,-0.44091105461120605,68.78955290414719
120,120_0,COMPLETED,BoTorch,-0.43251898884773254,43.078354871818306
121,121_0,COMPLETED,BoTorch,-0.4253171384334564,43.392264668534295
122,122_0,COMPLETED,BoTorch,-0.43807080388069153,44.89399982537258
123,123_0,COMPLETED,BoTorch,-0.41711583733558655,66.26762021324132
124,124_0,COMPLETED,BoTorch,-0.45350947976112366,112.97396828907894
125,125_0,COMPLETED,BoTorch,-0.4570956826210022,49.83683690253131
126,126_0,COMPLETED,BoTorch,-0.490966796875,90.8961771447065
127,127_0,COMPLETED,BoTorch,-0.42951154708862305,64.66093276755521
128,128_0,COMPLETED,BoTorch,-0.4882887005805969,52.853283978764885
129,129_0,COMPLETED,BoTorch,-0.4412759840488434,56.03084536489435
130,130_0,COMPLETED,BoTorch,-0.45900705456733704,63.39124019606728
131,131_0,COMPLETED,BoTorch,-0.43503957986831665,61.84590378819205
132,132_0,COMPLETED,BoTorch,-0.4787452220916748,53.78952171581934
133,133_0,COMPLETED,BoTorch,-0.486401230096817,38.03249028539671
134,134_0,COMPLETED,BoTorch,-0.4167225658893585,106.11329758784314
135,135_0,COMPLETED,BoTorch,-0.4451667070388794,80.55354921688702
136,136_0,COMPLETED,BoTorch,-0.4656515419483185,34.86292557896224
137,137_0,COMPLETED,BoTorch,-0.4829908609390259,83.18506897265819
138,138_0,COMPLETED,BoTorch,-0.45851171016693115,75.67711927057991
139,139_0,COMPLETED,BoTorch,-0.451665461063385,76.80766437627507
140,140_0,COMPLETED,BoTorch,-0.408097505569458,59.746120272575226
141,141_0,COMPLETED,BoTorch,-0.44805359840393066,50.28653147071567
142,142_0,COMPLETED,BoTorch,-0.443877637386322,79.15025221589723
143,143_0,COMPLETED,BoTorch,-0.42239904403686523,41.78279567415256
144,144_0,COMPLETED,BoTorch,-0.4400956630706787,70.22555622389866
145,145_0,COMPLETED,BoTorch,-0.48430198431015015,89.70160889618585
146,146_0,COMPLETED,BoTorch,-0.47704017162323,41.07024326219894
147,147_0,COMPLETED,BoTorch,-0.43505027890205383,62.31897269830472
148,148_0,COMPLETED,BoTorch,-0.46262019872665405,41.301286995197266
149,149_0,COMPLETED,BoTorch,-0.4494003653526306,67.51993861121609
