trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.5551016926765442,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.40356653928756714,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.6457241773605347,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.6639897227287292,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.6698530912399292,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.564750075340271,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.4427577257156372,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.6699795722961426,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.6682031154632568,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.2975585460662842,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.6204246878623962,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.6679968237876892,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.6669960618019104,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.6741424202919006,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.3420342803001404,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.6559485793113708,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.6149798035621643,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.31821054220199585,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.6740984916687012,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.6656437516212463,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.6840609312057495,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.6605502963066101,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.3214079737663269,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.640365481376648,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.6885159611701965,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.371218740940094,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.521905243396759,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.6651566624641418,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.6575667262077332,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.674172043800354,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.5129033327102661,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.5864521861076355,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.6034170985221863,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.4735586643218994,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.6690312027931213,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.6530925035476685,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.6713626980781555,0.03134772783433069
37,37_0,COMPLETED,Sobol,-0.5019434690475464,182.94294550269228
38,38_0,COMPLETED,Sobol,-0.36434638500213623,82.39707263021225
39,39_0,COMPLETED,Sobol,-0.6709167957305908,0.07727873004408126
40,40_0,COMPLETED,Sobol,-0.6534299850463867,0.3322826650782107
41,41_0,COMPLETED,Sobol,-0.33510076999664307,47.257289227670434
42,42_0,COMPLETED,Sobol,-0.6573211550712585,873.7176600494571
43,43_0,COMPLETED,Sobol,-0.6647491455078125,0.019959923620427623
