trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.5748324394226074,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.4586886763572693,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.5785393714904785,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.6282906532287598,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.6233786940574646,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.21855425834655762,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.19379156827926636,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.6283062696456909,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.6433509588241577,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.30336207151412964,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.283125638961792,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.6532483100891113,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.6234394907951355,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.5240086913108826,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.39639103412628174,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.6071711182594299,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.5946099758148193,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.3414321541786194,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.5624845027923584,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.6357614398002625,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.6420546770095825,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.4654330909252167,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.2260330468416214,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.6183514595031738,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.6228405237197876,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.20200085639953613,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.1892557144165039,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.647229015827179,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.6321539878845215,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.5873803496360779,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.5414687395095825,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.5861851572990417,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.6054978370666504,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.4940369725227356,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.5738855600357056,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.6213147044181824,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.6215788125991821,0.03134772783433069
37,37_0,COMPLETED,Sobol,-0.1820954531431198,182.94294550269228
38,38_0,COMPLETED,Sobol,-0.21080060303211212,82.39707263021225
39,39_0,COMPLETED,Sobol,-0.620880663394928,0.07727873004408126
40,40_0,COMPLETED,Sobol,-0.6238224506378174,0.3322826650782107
41,41_0,COMPLETED,Sobol,-0.24501176178455353,47.257289227670434
42,42_0,COMPLETED,Sobol,-0.41236501932144165,873.7176600494571
43,43_0,COMPLETED,Sobol,-0.6442179679870605,0.019959923620427623
44,44_0,COMPLETED,Sobol,-0.6458807587623596,0.0056100797167082
45,45_0,COMPLETED,Sobol,-0.5766240954399109,3145.0665253620828
46,46_0,COMPLETED,Sobol,-0.3188551068305969,21.051445604830217
47,47_0,COMPLETED,Sobol,-0.607081413269043,0.7372471767893256
48,48_0,COMPLETED,Sobol,-0.6160442233085632,0.6133363216244101
49,49_0,COMPLETED,Sobol,-0.4226771891117096,10.604055266782089
50,50_0,COMPLETED,BoTorch,-0.18561851978302002,163.04538494461224
51,51_0,COMPLETED,BoTorch,-0.18521109223365784,172.72311927457528
52,52_0,COMPLETED,BoTorch,-0.18261116743087769,151.50587538399384
53,53_0,COMPLETED,BoTorch,-0.18204687535762787,193.84123268382552
54,54_0,COMPLETED,BoTorch,-0.1816764920949936,168.3232035769724
55,55_0,COMPLETED,BoTorch,-0.1949792206287384,157.27741829976367
56,56_0,COMPLETED,BoTorch,-0.1795842945575714,178.20537364099954
57,57_0,COMPLETED,BoTorch,-0.18718473613262177,187.36606610221313
58,58_0,COMPLETED,BoTorch,-0.18075031042099,202.68608903766037
59,59_0,COMPLETED,BoTorch,-0.17914235591888428,175.70881165731848
60,60_0,COMPLETED,BoTorch,-0.1798219531774521,210.51731615217315
61,61_0,COMPLETED,BoTorch,-0.193125382065773,144.07855974573076
62,62_0,COMPLETED,BoTorch,-0.1892230212688446,190.71441662060568
63,63_0,COMPLETED,BoTorch,-0.18859153985977173,198.14881819395904
64,64_0,COMPLETED,BoTorch,-0.19046767055988312,180.571533792974
65,65_0,COMPLETED,BoTorch,-0.1917894184589386,165.9524052061355
66,66_0,COMPLETED,BoTorch,-0.1915852427482605,159.98376084486156
67,67_0,COMPLETED,BoTorch,-0.1870236098766327,170.75059421173597
68,68_0,COMPLETED,BoTorch,-0.19147728383541107,185.34244925853685
69,69_0,COMPLETED,BoTorch,-0.1771175116300583,205.33684893392433
70,70_0,COMPLETED,BoTorch,-0.20068372786045074,195.77310968184065
71,71_0,COMPLETED,BoTorch,-0.19419452548027039,182.8800302788942
