trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.37129300832748413,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.2866169512271881,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.5507620573043823,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.6508851051330566,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.6058854460716248,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.21146583557128906,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.20958442986011505,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.5558857917785645,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.5513608455657959,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.24598704278469086,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.2538163959980011,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.6248870491981506,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.6199698448181152,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.4173741340637207,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.2663883566856384,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.5135502815246582,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.43703266978263855,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.26462915539741516,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.49099546670913696,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.6317904591560364,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.6236216425895691,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.3659687340259552,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.22663110494613647,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.5404515266418457,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.6022174954414368,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.21279358863830566,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.2215183526277542,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.6460364460945129,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.6213526725769043,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.5547118186950684,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.3283628225326538,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.4055453836917877,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.41101381182670593,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.32181110978126526,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.5544131994247437,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.6441502571105957,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.6351665258407593,0.03134772783433069
37,37_0,COMPLETED,Sobol,-0.20868325233459473,182.94294550269228
38,38_0,COMPLETED,Sobol,-0.23817893862724304,82.39707263021225
39,39_0,COMPLETED,Sobol,-0.5894230604171753,0.07727873004408126
40,40_0,COMPLETED,Sobol,-0.535777747631073,0.3322826650782107
41,41_0,COMPLETED,Sobol,-0.23736581206321716,47.257289227670434
42,42_0,COMPLETED,Sobol,-0.31835415959358215,873.7176600494571
43,43_0,COMPLETED,Sobol,-0.6311070919036865,0.019959923620427623
44,44_0,COMPLETED,Sobol,-0.6387802958488464,0.0056100797167082
45,45_0,COMPLETED,Sobol,-0.531135082244873,3145.0665253620828
46,46_0,COMPLETED,Sobol,-0.2623891234397888,21.051445604830217
47,47_0,COMPLETED,Sobol,-0.47472405433654785,0.7372471767893256
48,48_0,COMPLETED,Sobol,-0.49132445454597473,0.6133363216244101
49,49_0,COMPLETED,Sobol,-0.2845451831817627,10.604055266782089
50,50_0,COMPLETED,BoTorch,-0.19526252150535583,206.71761298729044
51,51_0,COMPLETED,BoTorch,-0.20750021934509277,161.37681724924877
52,52_0,COMPLETED,BoTorch,-0.20501001179218292,221.79075534673234
53,53_0,COMPLETED,BoTorch,-0.21360987424850464,193.17712818991168
54,54_0,COMPLETED,BoTorch,-0.19344957172870636,171.9887734082804
55,55_0,COMPLETED,BoTorch,-0.2069215178489685,149.30490277694707
56,56_0,COMPLETED,BoTorch,-0.1989036649465561,199.81036798274272
57,57_0,COMPLETED,BoTorch,-0.19901448488235474,177.08426003413064
58,58_0,COMPLETED,BoTorch,-0.20455673336982727,167.2148604446334
59,59_0,COMPLETED,BoTorch,-0.2137535810470581,155.98285873465397
60,60_0,COMPLETED,BoTorch,-0.2099846601486206,213.40135626855368
61,61_0,COMPLETED,BoTorch,-0.20475560426712036,188.61687551994245
62,62_0,COMPLETED,BoTorch,-0.20054598152637482,232.9992263482575
63,63_0,COMPLETED,BoTorch,-0.20347554981708527,216.93547126733725
64,64_0,COMPLETED,BoTorch,-0.1985132396221161,196.1516205606291
65,65_0,COMPLETED,BoTorch,-0.2089739590883255,266.33658490943634
66,66_0,COMPLETED,BoTorch,-0.20397889614105225,203.35586879605938
67,67_0,COMPLETED,BoTorch,-0.19882258772850037,186.25835434763079
68,68_0,COMPLETED,BoTorch,-0.21628880500793457,142.63600067091602
69,69_0,COMPLETED,BoTorch,-0.19916783273220062,209.5597213377325
70,70_0,COMPLETED,BoTorch,-0.208269402384758,228.08779673245812
71,71_0,COMPLETED,BoTorch,-0.21113848686218262,177.0950296468064
72,72_0,COMPLETED,BoTorch,-0.20937055349349976,107.86554733961779
73,73_0,COMPLETED,BoTorch,-0.20301370322704315,190.19200185872884
74,74_0,COMPLETED,BoTorch,-0.21579521894454956,199.75766214740167
75,75_0,COMPLETED,BoTorch,-0.19527727365493774,196.284135889969
76,76_0,COMPLETED,BoTorch,-0.20302796363830566,180.9165421767407
77,77_0,COMPLETED,BoTorch,-0.2134144902229309,109.77396199531762
78,78_0,COMPLETED,BoTorch,-0.21120567619800568,198.91344609789067
79,79_0,COMPLETED,BoTorch,-0.2018190622329712,199.69656130067344
80,80_0,COMPLETED,BoTorch,-0.21238352358341217,166.44027160869712
81,81_0,COMPLETED,BoTorch,-0.20221967995166779,172.1351583154424
82,82_0,COMPLETED,BoTorch,-0.20934872329235077,224.72343653538638
83,83_0,COMPLETED,BoTorch,-0.20389479398727417,205.56767025975728
84,84_0,COMPLETED,BoTorch,-0.19542139768600464,256.3298172977789
85,85_0,COMPLETED,BoTorch,-0.20542773604393005,237.09928200709453
86,86_0,COMPLETED,BoTorch,-0.20884102582931519,216.38360959309253
