trial_index,arm_name,trial_status,generation_method,metric,guidance_strength,delta_x0_guidance_strength
0,0_0,COMPLETED,Sobol,-0.36950311064720154,2.1171437703247107,14.04972890470259
1,1_0,COMPLETED,Sobol,-0.28259289264678955,11.25494501613153,0.0018190874717152773
2,2_0,COMPLETED,Sobol,-0.6856131553649902,4515.326712387585,1087.4475756251632
3,3_0,COMPLETED,Sobol,-0.6201357841491699,0.006969555537636039,0.0676231568531294
4,4_0,COMPLETED,Sobol,-0.6152629852294922,0.03196072393898811,6595.91948484407
5,5_0,COMPLETED,Sobol,-0.5527858734130859,946.9135564768425,0.6675225831969028
6,6_0,COMPLETED,Sobol,-0.30679798126220703,156.52310375614704,73.81937040179464
7,7_0,COMPLETED,Sobol,-0.5564700961112976,0.15830968650109772,0.016114384022914603
8,8_0,COMPLETED,Sobol,-0.5772367715835571,0.06389532844088555,323.2467826183495
9,9_0,COMPLETED,Sobol,-0.2569616734981537,63.14439270056794,0.24419238285518258
10,10_0,COMPLETED,Sobol,-0.31980299949645996,312.8449474300653,3.60158114535977
11,11_0,COMPLETED,Sobol,-0.6229152083396912,0.01056462409746768,0.005921282816758441
12,12_0,COMPLETED,Sobol,-0.6227285861968994,0.0022149557478978238,38.538407048305494
13,13_0,COMPLETED,Sobol,-0.5470595359802246,1434.2686992886104,0.03757843338341841
14,14_0,COMPLETED,Sobol,-0.3137992322444916,4.722828150710441,2996.011383190132
15,15_0,COMPLETED,Sobol,-0.4287458658218384,0.8888210463477708,1.3908209821151927
16,16_0,COMPLETED,Sobol,-0.4901098608970642,0.465177140849424,1727.4981456966732
17,17_0,COMPLETED,Sobol,-0.2967526912689209,6.742131117073369,2.1947667010081613
18,18_0,COMPLETED,Sobol,-0.6222836971282959,2740.316142993005,62.698745998478024
19,19_0,COMPLETED,Sobol,-0.6342692971229553,0.0015514728739400355,0.02238249956522298
20,20_0,COMPLETED,Sobol,-0.5998906493186951,0.019478652082477406,6.258836299306231
21,21_0,COMPLETED,Sobol,-0.3560548424720764,209.80943418588666,0.0037448765711997636
