trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.5232886672019958,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.3993288278579712,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.8510695695877075,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.6524980068206787,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.6354204416275024,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.377118855714798,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.3300999402999878,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.6200919151306152,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.6182443499565125,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.32055598497390747,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.4958672523498535,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.6449717283248901,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.6378094553947449,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.7667649984359741,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.3618221879005432,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.6185341477394104,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.5808760523796082,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.3435972034931183,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.78279048204422,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.6330105662345886,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.6480149030685425,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.7062199115753174,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.3194679915904999,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.6227701902389526,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.6341875195503235,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.3245382308959961,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.36468765139579773,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.6401782631874084,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.6442661881446838,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.8035100698471069,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.4833464026451111,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.5584431290626526,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.5791930556297302,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.4626743793487549,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.8389351963996887,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.6262734532356262,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.627307653427124,0.03134772783433069
37,37_0,COMPLETED,Sobol,-0.3378944993019104,182.94294550269228
38,38_0,COMPLETED,Sobol,-0.3362898528575897,82.39707263021225
39,39_0,COMPLETED,Sobol,-0.6219915151596069,0.07727873004408126
40,40_0,COMPLETED,Sobol,-0.6221848130226135,0.3322826650782107
41,41_0,COMPLETED,Sobol,-0.3234410285949707,47.257289227670434
42,42_0,COMPLETED,Sobol,-0.6779226660728455,873.7176600494571
43,43_0,COMPLETED,Sobol,-0.6266943216323853,0.019959923620427623
44,44_0,COMPLETED,Sobol,-0.647924542427063,0.0056100797167082
45,45_0,COMPLETED,Sobol,-0.8105453848838806,3145.0665253620828
46,46_0,COMPLETED,Sobol,-0.32186469435691833,21.051445604830217
47,47_0,COMPLETED,Sobol,-0.5965328216552734,0.7372471767893256
48,48_0,COMPLETED,Sobol,-0.6125290393829346,0.6133363216244101
49,49_0,COMPLETED,Sobol,-0.37519705295562744,10.604055266782089
50,50_0,COMPLETED,BoTorch,-0.32481589913368225,34.98917217624484
51,51_0,COMPLETED,BoTorch,-0.32635796070098877,40.72030195491347
52,52_0,COMPLETED,BoTorch,-0.3270677328109741,30.985854644877097
53,53_0,COMPLETED,BoTorch,-0.3321421146392822,25.242887375549106
54,54_0,COMPLETED,BoTorch,-0.3156909644603729,54.92572025994278
55,55_0,COMPLETED,BoTorch,-0.3381718397140503,71.65330708766108
56,56_0,COMPLETED,BoTorch,-0.3196474611759186,43.523807833244746
57,57_0,COMPLETED,BoTorch,-0.3375837206840515,114.67628892806981
58,58_0,COMPLETED,BoTorch,-0.3196760416030884,50.690366763222954
59,59_0,COMPLETED,BoTorch,-0.30814823508262634,37.77402438923417
60,60_0,COMPLETED,BoTorch,-0.3171371519565582,33.18671726723651
61,61_0,COMPLETED,BoTorch,-0.3059081733226776,36.596390142401674
62,62_0,COMPLETED,BoTorch,-0.3341890573501587,39.165881508061275
63,63_0,COMPLETED,BoTorch,-0.314932644367218,45.3920579192541
64,64_0,COMPLETED,BoTorch,-0.33690884709358215,41.87347416746147
65,65_0,COMPLETED,BoTorch,-0.32385364174842834,29.691910009896315
66,66_0,COMPLETED,BoTorch,-0.33006250858306885,58.47843733138419
67,67_0,COMPLETED,BoTorch,-0.3189614415168762,32.09732752669716
68,68_0,COMPLETED,BoTorch,-0.331274151802063,23.095123440775588
69,69_0,COMPLETED,BoTorch,-0.3122119605541229,34.13533351946654
70,70_0,COMPLETED,BoTorch,-0.3213232755661011,35.889457074653436
71,71_0,COMPLETED,BoTorch,-0.3350791037082672,149.20746642504025
72,72_0,COMPLETED,BoTorch,-0.34276580810546875,133.04531585395173
73,73_0,COMPLETED,BoTorch,-0.31653228402137756,75.69946492684296
74,74_0,COMPLETED,BoTorch,-0.3382618725299835,27.05657121487164
75,75_0,COMPLETED,BoTorch,-0.3186909258365631,67.44754267904553
76,76_0,COMPLETED,BoTorch,-0.32586270570755005,52.51055381708239
77,77_0,COMPLETED,BoTorch,-0.3297204375267029,49.336769471908795
78,78_0,COMPLETED,BoTorch,-0.3204064965248108,56.970966039306816
79,79_0,COMPLETED,BoTorch,-0.33327150344848633,60.32113336755065
80,80_0,COMPLETED,BoTorch,-0.33264315128326416,89.81624944307849
81,81_0,COMPLETED,BoTorch,-0.3239288032054901,39.989041330047506
82,82_0,COMPLETED,BoTorch,-0.31780359148979187,42.68070112000686
83,83_0,COMPLETED,BoTorch,-0.31631407141685486,38.42808456600889
84,84_0,COMPLETED,BoTorch,-0.3189762532711029,37.29479114032282
85,85_0,COMPLETED,BoTorch,-0.32762202620506287,24.02430060222877
86,86_0,COMPLETED,BoTorch,-0.3139922618865967,44.6370183704269
87,87_0,COMPLETED,BoTorch,-0.3235695958137512,35.40417669603967
88,88_0,COMPLETED,BoTorch,-0.32533368468284607,22.994590180333894
89,89_0,COMPLETED,BoTorch,-0.3208286166191101,48.267082508401806
90,90_0,COMPLETED,BoTorch,-0.33054250478744507,24.913779978212375
91,91_0,COMPLETED,BoTorch,-0.32797276973724365,46.094966547196584
92,92_0,COMPLETED,BoTorch,-0.328800767660141,33.81660056100471
93,93_0,COMPLETED,BoTorch,-0.31818684935569763,32.61227516577889
94,94_0,COMPLETED,BoTorch,-0.32569563388824463,23.466261138750035
95,95_0,COMPLETED,BoTorch,-0.3284374475479126,44.16039991045673
96,96_0,COMPLETED,BoTorch,-0.33094343543052673,31.54422131594421
97,97_0,COMPLETED,BoTorch,-0.3100249469280243,41.30537915438109
98,98_0,COMPLETED,BoTorch,-0.32894089818000793,53.77428641813606
99,99_0,COMPLETED,BoTorch,-0.3269076943397522,37.77061351323245
100,100_0,COMPLETED,BoTorch,-0.32966890931129456,29.053583494795117
101,101_0,COMPLETED,BoTorch,-0.3310380280017853,38.10508159345428
102,102_0,COMPLETED,BoTorch,-0.3343360424041748,78.54716282342311
103,103_0,COMPLETED,BoTorch,-0.31594032049179077,43.32593425595088
104,104_0,COMPLETED,BoTorch,-0.3007086515426636,38.83446286489358
105,105_0,COMPLETED,BoTorch,-0.32202720642089844,38.41547139875601
106,106_0,COMPLETED,BoTorch,-0.3222367465496063,43.50618669101367
107,107_0,COMPLETED,BoTorch,-0.3209287226200104,39.9478482641083
108,108_0,COMPLETED,BoTorch,-0.32479965686798096,36.667173916775646
109,109_0,COMPLETED,BoTorch,-0.3257944583892822,42.05665388702927
110,110_0,COMPLETED,BoTorch,-0.33185142278671265,45.91533753973268
111,111_0,COMPLETED,BoTorch,-0.32088783383369446,34.66755481244223
112,112_0,COMPLETED,BoTorch,-0.3333030045032501,91.88635978759895
113,113_0,COMPLETED,BoTorch,-0.32182514667510986,65.7224559985667
114,114_0,COMPLETED,BoTorch,-0.316197007894516,39.30750040727509
115,115_0,COMPLETED,BoTorch,-0.3259756863117218,64.40597856593008
116,116_0,COMPLETED,BoTorch,-0.32560643553733826,40.89709261247024
117,117_0,COMPLETED,BoTorch,-0.31882670521736145,36.061499363524725
118,118_0,COMPLETED,BoTorch,-0.3308643698692322,35.67620370125361
119,119_0,COMPLETED,BoTorch,-0.3089600205421448,47.78351881872238
120,120_0,COMPLETED,BoTorch,-0.320235937833786,51.65005361693315
121,121_0,COMPLETED,BoTorch,-0.31530478596687317,40.90788336399639
122,122_0,COMPLETED,BoTorch,-0.32588455080986023,63.46913655000722
123,123_0,COMPLETED,BoTorch,-0.31799396872520447,44.27716190472173
124,124_0,COMPLETED,BoTorch,-0.33907121419906616,82.88912747301072
125,125_0,COMPLETED,BoTorch,-0.32044655084609985,49.943127800964646
126,126_0,COMPLETED,BoTorch,-0.3203252851963043,46.56482396645702
127,127_0,COMPLETED,BoTorch,-0.3300665020942688,42.82882743846856
128,128_0,COMPLETED,BoTorch,-0.3451470136642456,26.25323213989397
129,129_0,COMPLETED,BoTorch,-0.3265605568885803,44.91383119806015
130,130_0,COMPLETED,BoTorch,-0.3221966326236725,36.786874873469685
131,131_0,COMPLETED,BoTorch,-0.3183685541152954,48.821797263198214
132,132_0,COMPLETED,BoTorch,-0.3218812644481659,28.099152370072858
133,133_0,COMPLETED,BoTorch,-0.32613855600357056,46.704859063051416
134,134_0,COMPLETED,BoTorch,-0.32499444484710693,62.28574274209689
135,135_0,COMPLETED,BoTorch,-0.3166092336177826,27.305204262613053
136,136_0,COMPLETED,BoTorch,-0.3224157989025116,26.51883254480762
137,137_0,COMPLETED,BoTorch,-0.3320644199848175,28.989619351235504
138,138_0,COMPLETED,BoTorch,-0.32462823390960693,56.92624721491995
139,139_0,COMPLETED,BoTorch,-0.3320685923099518,39.83908694879204
140,140_0,COMPLETED,BoTorch,-0.3147795498371124,42.34741713304869
141,141_0,COMPLETED,BoTorch,-0.3224199116230011,60.260519732118595
142,142_0,COMPLETED,BoTorch,-0.3289549946784973,69.04621144511302
143,143_0,COMPLETED,BoTorch,-0.32600918412208557,30.211015773707505
144,144_0,COMPLETED,BoTorch,-0.32067450881004333,62.34348795515627
145,145_0,COMPLETED,BoTorch,-0.3226037621498108,57.972629485122816
146,146_0,COMPLETED,BoTorch,-0.32962262630462646,22.92097915562563
147,147_0,COMPLETED,BoTorch,-0.3155517280101776,48.63807870939661
148,148_0,COMPLETED,BoTorch,-0.31895211338996887,28.98450899236353
149,149_0,COMPLETED,BoTorch,-0.3282921612262726,45.19185876006868
