trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.7082136869430542,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.7684832811355591,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.7513090968132019,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.4647907614707947,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.5871874690055847,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.7899616956710815,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.7859382033348083,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.6111162900924683,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.6131680011749268,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.7869170904159546,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.7747868895530701,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.5697668194770813,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.4593467116355896,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.7566885352134705,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.7982871532440186,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.6198623776435852,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.6737684011459351,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.7909475564956665,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.7495133876800537,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.4912772476673126,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.5440078973770142,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.774270236492157,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.769300103187561,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.6167468428611755,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.624062180519104,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.7614622712135315,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.784149169921875,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.5895751714706421,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.4791811406612396,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.7423942685127258,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.7383072972297668,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.7019347548484802,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.6874958872795105,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.7659671306610107,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.7279453873634338,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.4852908253669739,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.5737744569778442,0.03134772783433069
37,37_0,COMPLETED,Sobol,-0.7556650638580322,182.94294550269228
38,38_0,COMPLETED,Sobol,-0.769488513469696,82.39707263021225
39,39_0,COMPLETED,Sobol,-0.6201804280281067,0.07727873004408126
40,40_0,COMPLETED,Sobol,-0.6008560657501221,0.3322826650782107
41,41_0,COMPLETED,Sobol,-0.775019645690918,47.257289227670434
42,42_0,COMPLETED,Sobol,-0.7819083333015442,873.7176600494571
43,43_0,COMPLETED,Sobol,-0.5615302920341492,0.019959923620427623
44,44_0,COMPLETED,Sobol,-0.4967109262943268,0.0056100797167082
45,45_0,COMPLETED,Sobol,-0.7369415760040283,3145.0665253620828
46,46_0,COMPLETED,Sobol,-0.77830570936203,21.051445604830217
47,47_0,COMPLETED,Sobol,-0.6546838879585266,0.7372471767893256
48,48_0,COMPLETED,Sobol,-0.621141791343689,0.6133363216244101
49,49_0,COMPLETED,Sobol,-0.7768651843070984,10.604055266782089
50,50_0,COMPLETED,BoTorch,-0.4756903648376465,0.002476444585857354
51,51_0,COMPLETED,BoTorch,-0.4902869164943695,0.0021928903021162668
52,52_0,COMPLETED,BoTorch,-0.4739542305469513,0.001
53,53_0,COMPLETED,BoTorch,-0.47219884395599365,0.0028142984747697203
54,54_0,COMPLETED,BoTorch,-0.46382349729537964,0.0013865433933909401
55,55_0,COMPLETED,BoTorch,-0.47854873538017273,0.001738079609845888
56,56_0,COMPLETED,BoTorch,-0.45538631081581116,0.002031583396258596
57,57_0,COMPLETED,BoTorch,-0.4445483684539795,0.0023244160515684493
58,58_0,COMPLETED,BoTorch,-0.4564114212989807,0.0026158811321101484
59,59_0,COMPLETED,BoTorch,-0.4438289701938629,0.002114007694912873
60,60_0,COMPLETED,BoTorch,-0.4885196387767792,0.0022632839404013866
61,61_0,COMPLETED,BoTorch,-0.48020434379577637,0.002969412294842712
62,62_0,COMPLETED,BoTorch,-0.48855528235435486,0.001664224932395665
63,63_0,COMPLETED,BoTorch,-0.4719668924808502,0.002389166089456152
64,64_0,COMPLETED,BoTorch,-0.4830688238143921,0.001811722922153063
65,65_0,COMPLETED,BoTorch,-0.4576296806335449,0.0031175114653210754
66,66_0,COMPLETED,BoTorch,-0.4673222303390503,0.002709064533167773
67,67_0,COMPLETED,BoTorch,-0.48536765575408936,0.0019618378161586217
68,68_0,COMPLETED,BoTorch,-0.48599758744239807,0.0025463604609410667
69,69_0,COMPLETED,BoTorch,-0.4732915461063385,0.0012435316642206466
70,70_0,COMPLETED,BoTorch,-0.48822736740112305,0.0035561967249220458
71,71_0,COMPLETED,BoTorch,-0.47217220067977905,0.0015050323369034252
72,52_0,COMPLETED,BoTorch,-0.4849109649658203,0.001
