trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.5873151421546936,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.5073108673095703,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.41448351740837097,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.63816237449646,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.6300458312034607,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.13535954058170319,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.12996269762516022,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.6186986565589905,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.6377774477005005,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.36102136969566345,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.16116094589233398,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.6434780955314636,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.6314740777015686,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.31588512659072876,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.4574342966079712,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.6145524978637695,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.5960050225257874,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.4073121249675751,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.2760213315486908,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.6392969489097595,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.630547285079956,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.18203578889369965,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.22425459325313568,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.6588695049285889,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.627129316329956,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.14960581064224243,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.12461941689252853,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.6282454133033752,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.6458064913749695,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.3681966960430145,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.5588349103927612,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.5984372496604919,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.6057231426239014,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.5375588536262512,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.42674776911735535,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.6453519463539124,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.640755832195282,0.03134772783433069
37,37_0,COMPLETED,Sobol,-0.12895461916923523,182.94294550269228
38,38_0,COMPLETED,Sobol,-0.17446421086788177,82.39707263021225
39,39_0,COMPLETED,Sobol,-0.6435076594352722,0.07727873004408126
40,40_0,COMPLETED,Sobol,-0.6142811179161072,0.3322826650782107
41,41_0,COMPLETED,Sobol,-0.2751784026622772,47.257289227670434
42,42_0,COMPLETED,Sobol,-0.19484129548072815,873.7176600494571
43,43_0,COMPLETED,Sobol,-0.6212096214294434,0.019959923620427623
44,44_0,COMPLETED,Sobol,-0.6571232080459595,0.0056100797167082
45,45_0,COMPLETED,Sobol,-0.32013747096061707,3145.0665253620828
46,46_0,COMPLETED,Sobol,-0.4012388586997986,21.051445604830217
47,47_0,COMPLETED,Sobol,-0.6215916872024536,0.7372471767893256
48,48_0,COMPLETED,Sobol,-0.6133212447166443,0.6133363216244101
49,49_0,COMPLETED,Sobol,-0.4626339375972748,10.604055266782089
50,50_0,COMPLETED,BoTorch,-0.12145420908927917,216.1023959140257
51,51_0,COMPLETED,BoTorch,-0.12708251178264618,265.33521962723313
52,52_0,COMPLETED,BoTorch,-0.1353599727153778,231.13893022123568
53,53_0,COMPLETED,BoTorch,-0.12569548189640045,201.58150105760666
54,54_0,COMPLETED,BoTorch,-0.12910149991512299,223.9888497531739
55,55_0,COMPLETED,BoTorch,-0.13305076956748962,254.98468556427147
56,56_0,COMPLETED,BoTorch,-0.12496548891067505,192.46268907321888
57,57_0,COMPLETED,BoTorch,-0.12551355361938477,209.1222853068476
58,58_0,COMPLETED,BoTorch,-0.12631161510944366,276.58784860229053
59,59_0,COMPLETED,BoTorch,-0.13446059823036194,158.96858689389177
60,60_0,COMPLETED,BoTorch,-0.13138526678085327,238.39660664492703
61,61_0,COMPLETED,BoTorch,-0.12360914051532745,176.28514978628425
62,62_0,COMPLETED,BoTorch,-0.12326072156429291,197.6537609862961
63,63_0,COMPLETED,BoTorch,-0.1251407265663147,205.20159582019664
64,64_0,COMPLETED,BoTorch,-0.13861224055290222,316.3917429418196
65,65_0,COMPLETED,BoTorch,-0.12190399318933487,186.96485121387755
66,66_0,COMPLETED,BoTorch,-0.12724214792251587,220.3786851095229
67,67_0,COMPLETED,BoTorch,-0.1283840388059616,170.93373570307156
68,68_0,COMPLETED,BoTorch,-0.12708380818367004,327.68004837119844
69,69_0,COMPLETED,BoTorch,-0.12493467330932617,220.25163669814276
70,70_0,COMPLETED,BoTorch,-0.12268754094839096,220.71391046673926
71,71_0,COMPLETED,BoTorch,-0.14090347290039062,213.01025245901556
72,72_0,COMPLETED,BoTorch,-0.13503536581993103,245.12058827237638
73,73_0,COMPLETED,BoTorch,-0.12485288828611374,191.78340927200722
74,74_0,COMPLETED,BoTorch,-0.12140151113271713,209.82682249962286
75,75_0,COMPLETED,BoTorch,-0.12685225903987885,219.95988384100897
76,76_0,COMPLETED,BoTorch,-0.12714754045009613,223.16350668614643
77,77_0,COMPLETED,BoTorch,-0.14538009464740753,362.2494576965874
78,78_0,COMPLETED,BoTorch,-0.12641748785972595,198.25912623165604
79,79_0,COMPLETED,BoTorch,-0.11591153591871262,186.11993592968764
80,80_0,COMPLETED,BoTorch,-0.12167191505432129,179.57454644084982
81,81_0,COMPLETED,BoTorch,-0.1512143909931183,166.43815851015728
82,82_0,COMPLETED,BoTorch,-0.13541074097156525,233.13363398141752
83,83_0,COMPLETED,BoTorch,-0.12454541027545929,202.48047369025184
84,84_0,COMPLETED,BoTorch,-0.12847110629081726,224.36532254385108
85,85_0,COMPLETED,BoTorch,-0.12068351358175278,202.62111955980777
86,86_0,COMPLETED,BoTorch,-0.1168435588479042,209.85251738423707
87,87_0,COMPLETED,BoTorch,-0.12496151030063629,181.121497779633
88,88_0,COMPLETED,BoTorch,-0.12337376922369003,188.81023383843194
89,89_0,COMPLETED,BoTorch,-0.12926533818244934,194.76780895674486
90,90_0,COMPLETED,BoTorch,-0.13305896520614624,228.77918173179182
91,91_0,COMPLETED,BoTorch,-0.12616394460201263,193.89354748017064
92,92_0,COMPLETED,BoTorch,-0.13167914748191833,251.12058541717974
93,93_0,COMPLETED,BoTorch,-0.12184073776006699,205.91752155160535
94,94_0,COMPLETED,BoTorch,-0.1294032484292984,236.71064764214998
95,95_0,COMPLETED,BoTorch,-0.14151471853256226,265.97461075776147
96,96_0,COMPLETED,BoTorch,-0.12234468758106232,174.86957343083515
97,97_0,COMPLETED,BoTorch,-0.12915319204330444,213.9676749929402
