trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.5510287284851074,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.4836972951889038,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.6086268424987793,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.6283528804779053,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.6330286860466003,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.18956053256988525,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.2030937522649765,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.6170764565467834,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.6212033033370972,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.39164653420448303,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.22047437727451324,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.6463455557823181,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.6102474331855774,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.3299570679664612,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.45098182559013367,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.608905017375946,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.579376220703125,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.41931015253067017,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.35255715250968933,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.6278442144393921,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.6287264227867126,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.2944822311401367,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.2936549782752991,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.5943841934204102,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.648169994354248,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.24553851783275604,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.19286371767520905,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.64982008934021,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.6383970975875854,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.4029944837093353,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.5226225852966309,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.5605081915855408,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.5673790574073792,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.4999063014984131,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.4590984284877777,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.6374484300613403,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.6283718347549438,0.03134772783433069
