trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.5874594449996948,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.6577940583229065,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.8225687742233276,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.6353147029876709,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.6245434880256653,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.6515905261039734,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.5196331739425659,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.6214672327041626,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.6336604356765747,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.46549248695373535,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.7123140096664429,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.6298466920852661,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.6344578266143799,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.8155941963195801,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.6043892502784729,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.6283618211746216,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.6232977509498596,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.5447421073913574,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.8172288537025452,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.6355946063995361,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.6359499096870422,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.7759698629379272,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.4258735179901123,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.6318180561065674,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.6457294225692749,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.47129055857658386,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.6277171969413757,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.6319147348403931,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.6322810649871826,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.8207941055297852,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.6299412250518799,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.5958127379417419,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.5849839448928833,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.644167423248291,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.8209036588668823,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.6402556896209717,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.6410728693008423,0.03134772783433069
37,37_0,COMPLETED,Sobol,-0.5780962705612183,182.94294550269228
38,38_0,COMPLETED,Sobol,-0.4500269293785095,82.39707263021225
39,39_0,COMPLETED,Sobol,-0.6541507840156555,0.07727873004408126
40,40_0,COMPLETED,Sobol,-0.6308544278144836,0.3322826650782107
41,41_0,COMPLETED,Sobol,-0.4161871373653412,47.257289227670434
42,42_0,COMPLETED,Sobol,-0.7592155933380127,873.7176600494571
43,43_0,COMPLETED,Sobol,-0.6482295393943787,0.019959923620427623
44,44_0,COMPLETED,Sobol,-0.6571059226989746,0.0056100797167082
45,45_0,COMPLETED,Sobol,-0.8184568881988525,3145.0665253620828
46,46_0,COMPLETED,Sobol,-0.5321383476257324,21.051445604830217
47,47_0,COMPLETED,Sobol,-0.6343985795974731,0.7372471767893256
48,48_0,COMPLETED,Sobol,-0.631471574306488,0.6133363216244101
49,49_0,COMPLETED,Sobol,-0.6263176798820496,10.604055266782089
50,50_0,COMPLETED,BoTorch,-0.41977885365486145,52.481367289971075
51,51_0,COMPLETED,BoTorch,-0.4164043664932251,50.103901760231864
52,52_0,COMPLETED,BoTorch,-0.4159395098686218,55.07188633284128
53,53_0,COMPLETED,BoTorch,-0.4199443757534027,48.860329077320635
54,54_0,COMPLETED,BoTorch,-0.4225715398788452,51.21834273458599
55,55_0,COMPLETED,BoTorch,-0.41908931732177734,53.59869265555367
56,56_0,COMPLETED,BoTorch,-0.4192856550216675,57.028840686786545
57,57_0,COMPLETED,BoTorch,-0.4189999997615814,51.83999281098125
58,58_0,COMPLETED,BoTorch,-0.42118898034095764,45.966197708715235
59,59_0,COMPLETED,BoTorch,-0.4228733479976654,49.51665310151075
60,60_0,COMPLETED,BoTorch,-0.41881781816482544,54.28975073264655
61,61_0,COMPLETED,BoTorch,-0.42207071185112,48.16829953745468
62,62_0,COMPLETED,BoTorch,-0.4268342852592468,60.382597117756724
63,63_0,COMPLETED,BoTorch,-0.41993817687034607,44.40748226068824
64,64_0,COMPLETED,BoTorch,-0.41770148277282715,50.65899522519891
65,65_0,COMPLETED,BoTorch,-0.4252983331680298,53.04819914436299
66,66_0,COMPLETED,BoTorch,-0.42238110303878784,58.623698662923395
67,67_0,COMPLETED,BoTorch,-0.42319050431251526,46.77199794177207
68,68_0,COMPLETED,BoTorch,-0.4170511066913605,55.97073478025999
69,69_0,COMPLETED,BoTorch,-0.42253944277763367,52.13819221749038
70,70_0,COMPLETED,BoTorch,-0.4164169132709503,52.136642805461555
71,71_0,COMPLETED,BoTorch,-0.4216535985469818,51.488580892513596
72,72_0,COMPLETED,BoTorch,-0.4169788360595703,50.10392340023218
73,73_0,COMPLETED,BoTorch,-0.41827768087387085,49.009290799586395
74,74_0,COMPLETED,BoTorch,-0.41623741388320923,50.86392115251218
75,75_0,COMPLETED,BoTorch,-0.4166128933429718,53.7324983886454
76,76_0,COMPLETED,BoTorch,-0.41878387331962585,48.33911486801979
77,77_0,COMPLETED,BoTorch,-0.4192226529121399,49.65483665946551
78,78_0,COMPLETED,BoTorch,-0.4198225736618042,51.23035571633044
79,79_0,COMPLETED,BoTorch,-0.4228475093841553,43.24787169478803
80,80_0,COMPLETED,BoTorch,-0.4193233549594879,53.04994991608775
81,81_0,COMPLETED,BoTorch,-0.4195970296859741,47.668718597575065
82,82_0,COMPLETED,BoTorch,-0.4185185432434082,50.13454219673021
83,83_0,COMPLETED,BoTorch,-0.42174723744392395,49.05634265645464
