trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.3100280463695526,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.7283986210823059,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.7647870779037476,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.5577244758605957,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.42117705941200256,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.7756041288375854,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.7882352471351624,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.364177405834198,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.3508186936378479,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.7738979458808899,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.7756815552711487,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.46767210960388184,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.5180984139442444,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.7708894610404968,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.7577036023139954,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.32369735836982727,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.32444900274276733,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.768993079662323,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.7788291573524475,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.49477630853652954,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.5078970789909363,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.7661134004592896,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.7876230478286743,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.3514406383037567,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.4352273643016815,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.7791316509246826,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.7790504097938538,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.4621415436267853,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.550964891910553,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.7656998634338379,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.49311283230781555,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.3213823437690735,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.3001611828804016,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.572770893573761,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.7752888202667236,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.5541960000991821,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.43431204557418823,0.03134772783433069
