trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.5721895694732666,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.49865004420280457,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.5292996764183044,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.6410794854164124,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.6354018449783325,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.1827777922153473,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.14035627245903015,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.6360555291175842,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.6269955635070801,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.33640390634536743,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.1983875036239624,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.6373884677886963,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.6460708975791931,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.4658966362476349,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.4388877749443054,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.611997127532959,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.5952099561691284,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.36886823177337646,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.46206778287887573,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.6242237091064453,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.6457985639572144,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.3476332128047943,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.22088587284088135,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.6322306394577026,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.6381321549415588,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.1586952954530716,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.14898541569709778,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.6349274516105652,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.6286464929580688,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.5385996699333191,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.5598733425140381,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.6014620065689087,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.595709502696991,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.5283613204956055,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.5362904667854309,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.642807126045227,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.6333513259887695,0.03134772783433069
37,37_0,COMPLETED,Sobol,-0.15826648473739624,182.94294550269228
38,38_0,COMPLETED,Sobol,-0.18026205897331238,82.39707263021225
39,39_0,COMPLETED,Sobol,-0.6045807600021362,0.07727873004408126
40,40_0,COMPLETED,Sobol,-0.6217397451400757,0.3322826650782107
41,41_0,COMPLETED,Sobol,-0.2757485508918762,47.257289227670434
42,42_0,COMPLETED,Sobol,-0.2966807186603546,873.7176600494571
43,43_0,COMPLETED,Sobol,-0.6538772583007812,0.019959923620427623
44,44_0,COMPLETED,Sobol,-0.616199254989624,0.0056100797167082
45,45_0,COMPLETED,Sobol,-0.5271008014678955,3145.0665253620828
46,46_0,COMPLETED,Sobol,-0.38298505544662476,21.051445604830217
47,47_0,COMPLETED,Sobol,-0.6070319414138794,0.7372471767893256
48,48_0,COMPLETED,Sobol,-0.6143952012062073,0.6133363216244101
49,49_0,COMPLETED,Sobol,-0.4438781440258026,10.604055266782089
50,50_0,COMPLETED,BoTorch,-0.14128616452217102,161.3217278785624
51,51_0,COMPLETED,BoTorch,-0.13948002457618713,201.56694958520566
52,52_0,COMPLETED,BoTorch,-0.13274291157722473,171.8906190401131
53,53_0,COMPLETED,BoTorch,-0.13153918087482452,152.52316959584607
54,54_0,COMPLETED,BoTorch,-0.1381201148033142,190.68787000411754
55,55_0,COMPLETED,BoTorch,-0.14917734265327454,166.35803729012608
56,56_0,COMPLETED,BoTorch,-0.16090811789035797,176.66050476709714
57,57_0,COMPLETED,BoTorch,-0.14422547817230225,146.1535657539024
58,58_0,COMPLETED,BoTorch,-0.14548182487487793,216.819525076826
59,59_0,COMPLETED,BoTorch,-0.15833187103271484,156.82939440642082
60,60_0,COMPLETED,BoTorch,-0.1423591524362564,195.80183314503182
61,61_0,COMPLETED,BoTorch,-0.14676953852176666,186.68417244774793
62,62_0,COMPLETED,BoTorch,-0.16786010563373566,206.94872189513052
63,63_0,COMPLETED,BoTorch,-0.15485483407974243,168.99864019127074
64,64_0,COMPLETED,BoTorch,-0.14858660101890564,163.75032264827456
65,65_0,COMPLETED,BoTorch,-0.1490788608789444,141.25250938387927
66,66_0,COMPLETED,BoTorch,-0.14327123761177063,166.380925989727
67,67_0,COMPLETED,BoTorch,-0.1354038566350937,179.96542185637983
68,68_0,COMPLETED,BoTorch,-0.15917149186134338,149.46586365768724
69,69_0,COMPLETED,BoTorch,-0.15025590360164642,174.43269581475056
70,70_0,COMPLETED,BoTorch,-0.16344054043293,225.73392240478398
71,71_0,COMPLETED,BoTorch,-0.137044295668602,157.84990885832426
72,72_0,COMPLETED,BoTorch,-0.1553821563720703,154.18282564385348
73,73_0,COMPLETED,BoTorch,-0.14901675283908844,169.05568350917912
74,74_0,COMPLETED,BoTorch,-0.14750607311725616,162.22716221234057
75,75_0,COMPLETED,BoTorch,-0.145253986120224,240.1399071821665
76,76_0,COMPLETED,BoTorch,-0.13748005032539368,171.5221244064091
77,77_0,COMPLETED,BoTorch,-0.15917997062206268,175.81968007833382
78,78_0,COMPLETED,BoTorch,-0.1478799283504486,194.92065388229105
79,79_0,COMPLETED,BoTorch,-0.15235359966754913,187.2949352088587
80,80_0,COMPLETED,BoTorch,-0.16563275456428528,161.78530124222726
81,81_0,COMPLETED,BoTorch,-0.14390021562576294,182.05592055791055
82,82_0,COMPLETED,BoTorch,-0.15900392830371857,210.12514429742504
83,83_0,COMPLETED,BoTorch,-0.14293867349624634,179.1472135914478
84,84_0,COMPLETED,BoTorch,-0.14542724192142487,145.97391371825893
85,85_0,COMPLETED,BoTorch,-0.16349628567695618,168.67186428813466
86,86_0,COMPLETED,BoTorch,-0.1317131072282791,171.9707656707697
87,87_0,COMPLETED,BoTorch,-0.1385532021522522,153.30320407632146
88,88_0,COMPLETED,BoTorch,-0.15795017778873444,157.20469298557074
89,89_0,COMPLETED,BoTorch,-0.14864106476306915,186.31763729698915
90,90_0,COMPLETED,BoTorch,-0.14660251140594482,150.70751316472536
91,91_0,COMPLETED,BoTorch,-0.15006417036056519,143.0930668227309
92,92_0,COMPLETED,BoTorch,-0.15509259700775146,138.05756935513847
93,93_0,COMPLETED,BoTorch,-0.14333294332027435,160.24830219004886
94,94_0,COMPLETED,BoTorch,-0.15285301208496094,164.74253552301988
95,95_0,COMPLETED,BoTorch,-0.14313523471355438,191.83832424700526
96,96_0,COMPLETED,BoTorch,-0.15845294296741486,174.90189609110814
97,97_0,COMPLETED,BoTorch,-0.13574428856372833,195.8876368432474
98,98_0,COMPLETED,BoTorch,-0.1615460366010666,238.97241791926345
99,99_0,COMPLETED,BoTorch,-0.14619630575180054,224.26564223512815
100,100_0,COMPLETED,BoTorch,-0.13159775733947754,211.73686273469477
101,101_0,COMPLETED,BoTorch,-0.13403433561325073,183.66453737867522
102,102_0,COMPLETED,BoTorch,-0.15790219604969025,198.22108656780148
103,103_0,COMPLETED,BoTorch,-0.14400416612625122,186.10497165666902
104,104_0,COMPLETED,BoTorch,-0.14161883294582367,191.94919542999676
105,105_0,COMPLETED,BoTorch,-0.1594579517841339,154.17464415903873
