trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.5080717206001282,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.42100316286087036,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.49094414710998535,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.6395987272262573,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.618012011051178,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.16003766655921936,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.22283534705638885,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.6175484657287598,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.6260614395141602,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.3271692097187042,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.1484786868095398,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.63530433177948,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.6187537312507629,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.17367295920848846,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.36504945158958435,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.5855637788772583,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.559528112411499,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.35540616512298584,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.20129351317882538,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.6333701610565186,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.648733377456665,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.13408975303173065,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.2838340103626251,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.5937695503234863,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.6254342198371887,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.25981903076171875,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.17190305888652802,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.6387539505958557,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.6345916986465454,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.3212641477584839,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.4613262116909027,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.530465841293335,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.5344287157058716,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.466484397649765,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.323688805103302,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.6370373964309692,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.6213904619216919,0.03134772783433069
37,37_0,COMPLETED,Sobol,-0.20132477581501007,182.94294550269228
38,38_0,COMPLETED,Sobol,-0.2622549533843994,82.39707263021225
39,39_0,COMPLETED,Sobol,-0.6420218348503113,0.07727873004408126
40,40_0,COMPLETED,Sobol,-0.604162871837616,0.3322826650782107
41,41_0,COMPLETED,Sobol,-0.2871069014072418,47.257289227670434
42,42_0,COMPLETED,Sobol,-0.14191080629825592,873.7176600494571
43,43_0,COMPLETED,Sobol,-0.6343968510627747,0.019959923620427623
44,44_0,COMPLETED,Sobol,-0.6482363343238831,0.0056100797167082
45,45_0,COMPLETED,Sobol,-0.2656513452529907,3145.0665253620828
46,46_0,COMPLETED,Sobol,-0.33569765090942383,21.051445604830217
47,47_0,COMPLETED,Sobol,-0.5638062953948975,0.7372471767893256
48,48_0,COMPLETED,Sobol,-0.5694217681884766,0.6133363216244101
49,49_0,COMPLETED,Sobol,-0.3895648717880249,10.604055266782089
50,50_0,COMPLETED,BoTorch,-0.14836391806602478,728.7222218303799
51,51_0,COMPLETED,BoTorch,-0.14807403087615967,654.8895359944761
52,52_0,COMPLETED,BoTorch,-0.14906850457191467,802.6623786472214
53,53_0,COMPLETED,BoTorch,-0.13949301838874817,943.0180548335499
54,54_0,COMPLETED,BoTorch,-0.1405913382768631,591.1542694416879
55,55_0,COMPLETED,BoTorch,-0.14745518565177917,767.2768337728763
56,56_0,COMPLETED,BoTorch,-0.14376576244831085,838.5797380814677
57,57_0,COMPLETED,BoTorch,-0.14623966813087463,697.6345122357903
58,58_0,COMPLETED,BoTorch,-0.13756625354290009,990.2214426066101
59,59_0,COMPLETED,BoTorch,-0.14079084992408752,911.7421296807458
60,60_0,COMPLETED,BoTorch,-0.14219142496585846,628.6556773549909
61,61_0,COMPLETED,BoTorch,-0.14404697716236115,854.5149842344796
62,62_0,COMPLETED,BoTorch,-0.14078544080257416,802.6850872369276
63,63_0,COMPLETED,BoTorch,-0.15009571611881256,783.0549695406482
64,64_0,COMPLETED,BoTorch,-0.14461058378219604,736.9898609804123
65,65_0,COMPLETED,BoTorch,-0.15475037693977356,783.3571894789856
66,66_0,COMPLETED,BoTorch,-0.1449240744113922,678.017883214548
67,67_0,COMPLETED,BoTorch,-0.14859694242477417,565.0012111529779
68,68_0,COMPLETED,BoTorch,-0.15582168102264404,888.5549477280741
69,69_0,COMPLETED,BoTorch,-0.13897067308425903,913.9354739896614
70,70_0,COMPLETED,BoTorch,-0.1437687873840332,485.4431373976003
71,71_0,COMPLETED,BoTorch,-0.14666350185871124,608.4240668819094
72,72_0,COMPLETED,BoTorch,-0.16084866225719452,823.2724797882119
73,73_0,COMPLETED,BoTorch,-0.14246973395347595,737.7719134474803
74,74_0,COMPLETED,BoTorch,-0.1359005570411682,956.5531435041281
75,75_0,COMPLETED,BoTorch,-0.14920751750469208,1075.5599408991657
76,76_0,COMPLETED,BoTorch,-0.14108595252037048,865.4985236446385
77,77_0,COMPLETED,BoTorch,-0.14956527948379517,539.675446092354
78,78_0,COMPLETED,BoTorch,-0.14755688607692719,757.8211739546524
79,79_0,COMPLETED,BoTorch,-0.1535712033510208,1116.3059878288802
80,80_0,COMPLETED,BoTorch,-0.15132418274879456,677.8450249975191
81,81_0,COMPLETED,BoTorch,-0.1417296677827835,1020.6350427699406
82,82_0,COMPLETED,BoTorch,-0.13752005994319916,968.1820342532194
83,83_0,COMPLETED,BoTorch,-0.13799692690372467,885.2526082618745
84,84_0,COMPLETED,BoTorch,-0.14930349588394165,854.7481048035243
85,85_0,COMPLETED,BoTorch,-0.13919346034526825,1001.2094509981612
86,86_0,COMPLETED,BoTorch,-0.14560262858867645,932.2147794654261
87,87_0,COMPLETED,BoTorch,-0.141473650932312,828.9919046112237
88,88_0,COMPLETED,BoTorch,-0.14443674683570862,963.8254013645904
89,89_0,COMPLETED,BoTorch,-0.15223048627376556,499.2974560002063
90,90_0,COMPLETED,BoTorch,-0.1323096752166748,995.437020611246
91,91_0,COMPLETED,BoTorch,-0.14683932065963745,903.4556460355067
92,92_0,COMPLETED,BoTorch,-0.14105375111103058,1032.9923643268114
93,93_0,COMPLETED,BoTorch,-0.1455947309732437,707.7533417047097
94,94_0,COMPLETED,BoTorch,-0.14115411043167114,1078.1287162326435
95,95_0,COMPLETED,BoTorch,-0.14209921658039093,896.2893605990176
96,96_0,COMPLETED,BoTorch,-0.15292221307754517,1181.4900804060812
97,97_0,COMPLETED,BoTorch,-0.14417678117752075,919.0195178202717
98,98_0,COMPLETED,BoTorch,-0.14184807240962982,1178.5507451968629
99,99_0,COMPLETED,BoTorch,-0.1476002335548401,951.6216565016782
100,100_0,COMPLETED,BoTorch,-0.14577607810497284,979.7281948489119
101,101_0,COMPLETED,BoTorch,-0.14612574875354767,460.31184678106183
102,102_0,COMPLETED,BoTorch,-0.14287763833999634,426.2830942313297
103,103_0,COMPLETED,BoTorch,-0.15155722200870514,549.063898236663
104,104_0,COMPLETED,BoTorch,-0.1456022411584854,1015.7269574493848
105,105_0,COMPLETED,BoTorch,-0.16033466160297394,434.83081971200977
106,106_0,COMPLETED,BoTorch,-0.14303161203861237,1058.8895487940472
107,107_0,COMPLETED,BoTorch,-0.1360919326543808,1101.4527677131716
108,108_0,COMPLETED,BoTorch,-0.15285006165504456,966.7381979788105
109,109_0,COMPLETED,BoTorch,-0.1419544667005539,1067.5700826944772
110,110_0,COMPLETED,BoTorch,-0.14543531835079193,1144.373094413646
111,111_0,COMPLETED,BoTorch,-0.15847060084342957,923.6291804981979
112,112_0,COMPLETED,BoTorch,-0.1461683064699173,458.0267133392591
113,113_0,COMPLETED,BoTorch,-0.15498962998390198,600.5777698702019
114,114_0,COMPLETED,BoTorch,-0.1439562439918518,1030.7012941134255
115,115_0,COMPLETED,BoTorch,-0.14198845624923706,435.3245887375186
116,116_0,COMPLETED,BoTorch,-0.1534590870141983,1045.2220173110202
117,117_0,COMPLETED,BoTorch,-0.14795330166816711,472.30099340406446
