trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.6222569942474365,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.49437984824180603,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.6295619010925293,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.6319499015808105,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.6262351274490356,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.14248493313789368,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.11783227324485779,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.6240512728691101,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.6274073123931885,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.10527753829956055,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.17006716132164001,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.6281822919845581,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.6360469460487366,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.2834121584892273,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.37100720405578613,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.6418711543083191,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.624153196811676,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.2015068382024765,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.35544633865356445,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.6378041505813599,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.638425350189209,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.19278484582901,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.1010688990354538,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.6268638968467712,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.6376823782920837,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.10974323749542236,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.13897833228111267,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.6190384030342102,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.6522071361541748,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.5247402787208557,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.5965456962585449,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.6072361469268799,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.6266249418258667,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.5669393539428711,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.5451083779335022,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.6241881847381592,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.6420146822929382,0.03134772783433069
37,37_0,COMPLETED,Sobol,-0.12721113860607147,182.94294550269228
38,38_0,COMPLETED,Sobol,-0.11015335470438004,82.39707263021225
39,39_0,COMPLETED,Sobol,-0.6386571526527405,0.07727873004408126
40,40_0,COMPLETED,Sobol,-0.6334736943244934,0.3322826650782107
41,41_0,COMPLETED,Sobol,-0.09253495186567307,47.257289227670434
42,42_0,COMPLETED,Sobol,-0.17988501489162445,873.7176600494571
43,43_0,COMPLETED,Sobol,-0.645783007144928,0.019959923620427623
44,44_0,COMPLETED,Sobol,-0.6281092762947083,0.0056100797167082
45,45_0,COMPLETED,Sobol,-0.4687809646129608,3145.0665253620828
46,46_0,COMPLETED,Sobol,-0.1414422243833542,21.051445604830217
47,47_0,COMPLETED,Sobol,-0.6165633797645569,0.7372471767893256
48,48_0,COMPLETED,Sobol,-0.6446217894554138,0.6133363216244101
49,49_0,COMPLETED,Sobol,-0.43540626764297485,10.604055266782089
50,50_0,COMPLETED,BoTorch,-0.09812211990356445,36.31426649955509
51,51_0,COMPLETED,BoTorch,-0.09780693799257278,33.14658481028649
52,52_0,COMPLETED,BoTorch,-0.09568755328655243,40.70432780003258
53,53_0,COMPLETED,BoTorch,-0.09924128651618958,52.98109945365354
54,54_0,COMPLETED,BoTorch,-0.10044693946838379,31.15215004101878
55,55_0,COMPLETED,BoTorch,-0.09358686953783035,43.84377650494635
56,56_0,COMPLETED,BoTorch,-0.09630296379327774,38.294587714099485
57,57_0,COMPLETED,BoTorch,-0.09945414215326309,56.79068534299475
58,58_0,COMPLETED,BoTorch,-0.09378501027822495,34.65106429433733
59,59_0,COMPLETED,BoTorch,-0.09933741390705109,49.64354832412293
60,60_0,COMPLETED,BoTorch,-0.10090047121047974,67.71141541407418
61,61_0,COMPLETED,BoTorch,-0.0967193990945816,42.031929440235075
62,62_0,COMPLETED,BoTorch,-0.10207239538431168,73.82053221036199
63,63_0,COMPLETED,BoTorch,-0.10966469347476959,29.809662983110936
64,64_0,COMPLETED,BoTorch,-0.09675440192222595,45.410334893668036
65,65_0,COMPLETED,BoTorch,-0.09724071621894836,39.501912491823354
66,66_0,COMPLETED,BoTorch,-0.09869814664125443,59.74079865729175
67,67_0,COMPLETED,BoTorch,-0.09675426781177521,37.20669482957304
68,68_0,COMPLETED,BoTorch,-0.09287789463996887,51.317712667648365
69,69_0,COMPLETED,BoTorch,-0.09402108192443848,42.98441492330036
70,70_0,COMPLETED,BoTorch,-0.09788976609706879,54.78916006564195
71,71_0,COMPLETED,BoTorch,-0.0918140709400177,46.30467586531731
72,72_0,COMPLETED,BoTorch,-0.09463392198085785,48.42734912145114
73,73_0,COMPLETED,BoTorch,-0.09437049180269241,41.37342672570306
74,74_0,COMPLETED,BoTorch,-0.10014795511960983,44.58363915256826
75,75_0,COMPLETED,BoTorch,-0.10382139682769775,29.591804133709516
76,76_0,COMPLETED,BoTorch,-0.09433506429195404,40.09961968857616
77,77_0,COMPLETED,BoTorch,-0.09615153819322586,38.87951295231463
78,78_0,COMPLETED,BoTorch,-0.09527856111526489,35.57129055682592
79,79_0,COMPLETED,BoTorch,-0.09380024671554565,47.843837184476655
80,80_0,COMPLETED,BoTorch,-0.10029393434524536,66.22888421106477
