trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.6702849864959717,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.7493777871131897,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.7258546948432922,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.45017626881599426,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.4558630585670471,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.7840509414672852,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.7464196681976318,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.4689928889274597,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.4338264465332031,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.7751744985580444,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.770733654499054,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.4069831669330597,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.42800194025039673,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.7655758857727051,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.7628647089004517,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.5483429431915283,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.6072403788566589,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.7704962491989136,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.7347335815429688,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.39251258969306946,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.3840354382991791,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.7690629363059998,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.7719786167144775,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.5355452299118042,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.488396018743515,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.748138427734375,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.771122932434082,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.4205475449562073,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.4605559706687927,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.7235274314880371,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.705253541469574,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.6500781178474426,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.6310479640960693,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.7192582488059998,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.734374463558197,4880.381509617365
