trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.7249723076820374,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.7032881379127502,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.5238971710205078,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.7303606867790222,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.7289937138557434,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.6295214295387268,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.6170765161514282,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.7395135164260864,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.7373255491256714,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.6291235685348511,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.5961906313896179,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.7313287258148193,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.7407520413398743,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.5972760319709778,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.6837354898452759,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.7301605343818665,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.7313709259033203,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.6692376136779785,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.578644335269928,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.7280727028846741,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.7305086255073547,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.6260021328926086,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.6365885138511658,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.7527676224708557,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.7263888120651245,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.628123939037323,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.632666289806366,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.7243549227714539,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.7315496206283569,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.5411295890808105,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.7232853174209595,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.7425803542137146,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.748286247253418,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.7322655320167542,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.5561197996139526,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.7393783330917358,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.7436563968658447,0.03134772783433069
37,37_0,COMPLETED,Sobol,-0.6243185997009277,182.94294550269228
38,38_0,COMPLETED,Sobol,-0.6270672678947449,82.39707263021225
39,39_0,COMPLETED,Sobol,-0.7396554946899414,0.07727873004408126
40,40_0,COMPLETED,Sobol,-0.7333515882492065,0.3322826650782107
41,41_0,COMPLETED,Sobol,-0.6233090162277222,47.257289227670434
42,42_0,COMPLETED,Sobol,-0.5815643072128296,873.7176600494571
43,43_0,COMPLETED,Sobol,-0.726730465888977,0.019959923620427623
