trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,0.37086009979248047,2.1171437703247107
1,1_0,COMPLETED,Sobol,0.49054622650146484,8.334163429552671
2,2_0,COMPLETED,Sobol,1.8976926803588867,8212.638015892508
3,3_0,COMPLETED,Sobol,0.5860328674316406,0.001889842827262904
4,4_0,COMPLETED,Sobol,0.49233436584472656,0.052640807202046815
5,5_0,COMPLETED,Sobol,1.080632209777832,298.2913265583641
6,6_0,COMPLETED,Sobol,1.0184049606323242,134.35744070290974
7,7_0,COMPLETED,Sobol,0.4889965057373047,0.1297940657513337
8,8_0,COMPLETED,Sobol,0.4056692123413086,0.2038020965437322
9,9_0,COMPLETED,Sobol,0.8597373962402344,28.14015706041557
10,10_0,COMPLETED,Sobol,0.9418725967407227,520.2399975268816
11,11_0,COMPLETED,Sobol,0.5731582641601562,0.012239997961257472
12,12_0,COMPLETED,Sobol,0.4140138626098633,0.0033341952368863615
13,13_0,COMPLETED,Sobol,1.2199878692626953,1932.6460760120394
14,14_0,COMPLETED,Sobol,0.5866289138793945,12.935384164212955
15,15_0,COMPLETED,Sobol,0.41496753692626953,0.43808322199747585
16,16_0,COMPLETED,Sobol,0.42068958282470703,1.0001125684884087
17,17_0,COMPLETED,Sobol,0.6899833679199219,17.810130577486994
18,18_0,COMPLETED,Sobol,1.1909008026123047,2318.322549813085
19,19_0,COMPLETED,Sobol,0.4851818084716797,0.006631580550700104
20,20_0,COMPLETED,Sobol,0.35119056701660156,0.014887518536951076
21,21_0,COMPLETED,Sobol,1.0575056076049805,1045.057572541195
22,22_0,COMPLETED,Sobol,1.0399818420410156,63.35366627198893
23,23_0,COMPLETED,Sobol,0.43022632598876953,0.2778167170791667
24,24_0,COMPLETED,Sobol,0.49126148223876953,0.05764449839708752
25,25_0,COMPLETED,Sobol,0.9790658950805664,98.55082361184009
26,26_0,COMPLETED,Sobol,1.056671142578125,245.27393157774324
27,27_0,COMPLETED,Sobol,0.5443096160888672,0.026208236519264242
28,28_0,COMPLETED,Sobol,0.5328655242919922,0.0015752606323655594
29,29_0,COMPLETED,Sobol,1.3082027435302734,4128.620092941036
30,30_0,COMPLETED,Sobol,0.44476985931396484,3.651081141903054
31,31_0,COMPLETED,Sobol,0.4036426544189453,1.5378509676710175
32,32_0,COMPLETED,Sobol,0.36585330963134766,1.301063804858965
33,33_0,COMPLETED,Sobol,0.4138946533203125,4.952883197968552
34,34_0,COMPLETED,Sobol,1.462697982788086,4880.381509617365
35,35_0,COMPLETED,Sobol,0.4515647888183594,0.0011611694695247558
36,36_0,COMPLETED,Sobol,0.4584789276123047,0.03134772783433069
37,37_0,COMPLETED,Sobol,1.0442733764648438,182.94294550269228
38,38_0,COMPLETED,Sobol,1.1076927185058594,82.39707263021225
39,39_0,COMPLETED,Sobol,0.39839744567871094,0.07727873004408126
40,40_0,COMPLETED,Sobol,0.4763603210449219,0.3322826650782107
41,41_0,COMPLETED,Sobol,1.0792016983032227,47.257289227670434
42,42_0,COMPLETED,Sobol,1.027226448059082,873.7176600494571
43,43_0,COMPLETED,Sobol,0.5180835723876953,0.019959923620427623
44,44_0,COMPLETED,Sobol,0.5824565887451172,0.0056100797167082
45,45_0,COMPLETED,Sobol,1.2271404266357422,3145.0665253620828
46,46_0,COMPLETED,Sobol,0.8047819137573242,21.051445604830217
47,47_0,COMPLETED,Sobol,0.3122091293334961,0.7372471767893256
48,48_0,COMPLETED,Sobol,0.28252601623535156,0.6133363216244101
49,49_0,COMPLETED,Sobol,0.5114078521728516,10.604055266782089
50,50_0,COMPLETED,BoTorch,0.43392181396484375,2.878333763681996
51,51_0,COMPLETED,BoTorch,0.44167041778564453,0.001
52,52_0,COMPLETED,BoTorch,0.30982494354248047,1.102854252812727
53,53_0,COMPLETED,BoTorch,0.34248828887939453,0.8455415302754157
54,54_0,COMPLETED,BoTorch,0.32639503479003906,0.5441511090322667
55,55_0,COMPLETED,BoTorch,0.40841102600097656,0.9054445227385189
56,56_0,COMPLETED,BoTorch,0.3993511199951172,1.7950752725850148
57,57_0,COMPLETED,BoTorch,0.40328502655029297,0.6739905057955589
58,58_0,COMPLETED,BoTorch,0.40411949157714844,2.4329664430660403
59,59_0,COMPLETED,BoTorch,0.3305673599243164,0.7918404399269141
60,60_0,COMPLETED,BoTorch,0.32210350036621094,1.2058631011286758
61,61_0,COMPLETED,BoTorch,0.5365610122680664,0.16410741463496145
62,62_0,COMPLETED,BoTorch,0.37157535552978516,1.048583055680286
63,63_0,COMPLETED,BoTorch,0.3873109817504883,1.4084008905856387
64,64_0,COMPLETED,BoTorch,0.39327144622802734,0.3854796144299632
65,65_0,COMPLETED,BoTorch,0.2759695053100586,0.9492481833384747
