trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,0.4953145980834961,2.1171437703247107
1,1_0,COMPLETED,Sobol,0.5338191986083984,8.334163429552671
2,2_0,COMPLETED,Sobol,1.6611814498901367,8212.638015892508
3,3_0,COMPLETED,Sobol,0.4754066467285156,0.001889842827262904
4,4_0,COMPLETED,Sobol,0.41484832763671875,0.052640807202046815
5,5_0,COMPLETED,Sobol,1.1551380157470703,298.2913265583641
6,6_0,COMPLETED,Sobol,0.9881258010864258,134.35744070290974
7,7_0,COMPLETED,Sobol,0.3662109375,0.1297940657513337
8,8_0,COMPLETED,Sobol,0.3572702407836914,0.2038020965437322
9,9_0,COMPLETED,Sobol,0.8304119110107422,28.14015706041557
10,10_0,COMPLETED,Sobol,1.4164447784423828,520.2399975268816
11,11_0,COMPLETED,Sobol,0.5137920379638672,0.012239997961257472
12,12_0,COMPLETED,Sobol,0.5217790603637695,0.0033341952368863615
13,13_0,COMPLETED,Sobol,1.889348030090332,1932.6460760120394
14,14_0,COMPLETED,Sobol,1.0170936584472656,12.935384164212955
15,15_0,COMPLETED,Sobol,0.38683414459228516,0.43808322199747585
16,16_0,COMPLETED,Sobol,0.45311450958251953,1.0001125684884087
17,17_0,COMPLETED,Sobol,0.6170272827148438,17.810130577486994
18,18_0,COMPLETED,Sobol,1.83868408203125,2318.322549813085
19,19_0,COMPLETED,Sobol,0.4960298538208008,0.006631580550700104
20,20_0,COMPLETED,Sobol,0.46324729919433594,0.014887518536951076
21,21_0,COMPLETED,Sobol,1.53350830078125,1045.057572541195
22,22_0,COMPLETED,Sobol,1.0658502578735352,63.35366627198893
23,23_0,COMPLETED,Sobol,0.31936168670654297,0.2778167170791667
24,24_0,COMPLETED,Sobol,0.41747093200683594,0.05764449839708752
25,25_0,COMPLETED,Sobol,0.9026527404785156,98.55082361184009
26,26_0,COMPLETED,Sobol,1.4296770095825195,245.27393157774324
27,27_0,COMPLETED,Sobol,0.4584789276123047,0.026208236519264242
28,28_0,COMPLETED,Sobol,0.4036426544189453,0.0015752606323655594
29,29_0,COMPLETED,Sobol,2.027750015258789,4128.620092941036
30,30_0,COMPLETED,Sobol,0.5906820297241211,3.651081141903054
31,31_0,COMPLETED,Sobol,0.36394596099853516,1.5378509676710175
32,32_0,COMPLETED,Sobol,0.4291534423828125,1.301063804858965
33,33_0,COMPLETED,Sobol,0.6437301635742188,4.952883197968552
34,34_0,COMPLETED,Sobol,1.9085407257080078,4880.381509617365
35,35_0,COMPLETED,Sobol,0.45931339263916016,0.0011611694695247558
36,36_0,COMPLETED,Sobol,0.4506111145019531,0.03134772783433069
37,37_0,COMPLETED,Sobol,1.2559890747070312,182.94294550269228
38,38_0,COMPLETED,Sobol,1.1583566665649414,82.39707263021225
39,39_0,COMPLETED,Sobol,0.3782510757446289,0.07727873004408126
40,40_0,COMPLETED,Sobol,0.36263465881347656,0.3322826650782107
41,41_0,COMPLETED,Sobol,1.167893409729004,47.257289227670434
42,42_0,COMPLETED,Sobol,1.6196966171264648,873.7176600494571
43,43_0,COMPLETED,Sobol,0.5272626876831055,0.019959923620427623
44,44_0,COMPLETED,Sobol,0.5155801773071289,0.0056100797167082
45,45_0,COMPLETED,Sobol,1.5877485275268555,3145.0665253620828
46,46_0,COMPLETED,Sobol,0.8623600006103516,21.051445604830217
47,47_0,COMPLETED,Sobol,0.35834312438964844,0.7372471767893256
48,48_0,COMPLETED,Sobol,0.3654956817626953,0.6133363216244101
49,49_0,COMPLETED,Sobol,0.6840229034423828,10.604055266782089
50,50_0,COMPLETED,BoTorch,0.42760372161865234,0.001
51,51_0,COMPLETED,BoTorch,0.30982494354248047,0.16234039961198107
52,52_0,COMPLETED,BoTorch,0.2448558807373047,0.2397940435843208
53,53_0,COMPLETED,BoTorch,0.2522468566894531,0.37610205732912194
54,54_0,COMPLETED,BoTorch,0.32973289489746094,0.5159068441801261
55,55_0,COMPLETED,BoTorch,0.28395652770996094,0.10118356051288918
56,56_0,COMPLETED,BoTorch,0.32770633697509766,0.18208328592743847
57,57_0,COMPLETED,BoTorch,0.32770633697509766,0.3011784057175789
58,58_0,COMPLETED,BoTorch,0.35369396209716797,0.25938281399752766
59,59_0,COMPLETED,BoTorch,0.35965442657470703,0.14458489501759336
60,60_0,COMPLETED,BoTorch,0.3161430358886719,0.22009084872034682
61,61_0,COMPLETED,BoTorch,0.2613067626953125,0.47342299108222563
62,62_0,COMPLETED,BoTorch,0.36919116973876953,0.4008805972554091
63,63_0,COMPLETED,BoTorch,0.26547908782958984,0.35160772063794943
64,64_0,COMPLETED,BoTorch,0.34630298614501953,0.11941698602743198
65,65_0,COMPLETED,BoTorch,0.28574466705322266,0.8585575848531972
66,66_0,COMPLETED,BoTorch,0.33020973205566406,0.2120931664149131
67,67_0,COMPLETED,BoTorch,0.28014183044433594,0.31599792509824903
68,68_0,COMPLETED,BoTorch,0.40471553802490234,0.1919845447515399
69,69_0,COMPLETED,BoTorch,0.3561973571777344,0.5495665825177591
70,70_0,COMPLETED,BoTorch,0.2709627151489258,0.2892393894209548
71,71_0,COMPLETED,BoTorch,0.3418922424316406,0.24995370588844582
72,72_0,COMPLETED,BoTorch,0.3949403762817383,0.22913892742922062
73,73_0,COMPLETED,BoTorch,0.27251243591308594,0.5797839426770311
74,74_0,COMPLETED,BoTorch,0.4099607467651367,0.3648588632244333
75,75_0,COMPLETED,BoTorch,0.3508329391479492,0.17309725208061516
