trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.6112122535705566,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.5255829691886902,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.6199946403503418,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.6820236444473267,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.7026895880699158,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.24354825913906097,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.25159406661987305,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.6791623830795288,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.6763758659362793,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.3994255065917969,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.42893195152282715,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.6924605369567871,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.6859102249145508,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.588790237903595,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.49047330021858215,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.6862499117851257,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.6374245285987854,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.44101303815841675,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.5920352935791016,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.6758043766021729,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.6632865071296692,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.5555504560470581,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.34423214197158813,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.6863495111465454,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.6732746958732605,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.2661277651786804,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.25848597288131714,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.674517035484314,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.6873698234558105,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.6058832406997681,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.5865452289581299,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.6432196497917175,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.639328122138977,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.5636069178581238,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.615449070930481,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.6809277534484863,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.6799572706222534,0.03134772783433069
37,37_0,COMPLETED,Sobol,-0.21917793154716492,182.94294550269228
38,38_0,COMPLETED,Sobol,-0.3110726773738861,82.39707263021225
39,39_0,COMPLETED,Sobol,-0.7047943472862244,0.07727873004408126
40,40_0,COMPLETED,Sobol,-0.673595130443573,0.3322826650782107
41,41_0,COMPLETED,Sobol,-0.35955342650413513,47.257289227670434
42,42_0,COMPLETED,Sobol,-0.5335487127304077,873.7176600494571
43,43_0,COMPLETED,Sobol,-0.6663993000984192,0.019959923620427623
44,44_0,COMPLETED,Sobol,-0.6721227765083313,0.0056100797167082
45,45_0,COMPLETED,Sobol,-0.6016675233840942,3145.0665253620828
46,46_0,COMPLETED,Sobol,-0.4384496808052063,21.051445604830217
47,47_0,COMPLETED,Sobol,-0.6652024984359741,0.7372471767893256
48,48_0,COMPLETED,Sobol,-0.6704713702201843,0.6133363216244101
49,49_0,COMPLETED,Sobol,-0.464006245136261,10.604055266782089
50,50_0,COMPLETED,BoTorch,-0.20882265269756317,171.70771798807132
51,51_0,COMPLETED,BoTorch,-0.21137472987174988,193.7023495692021
52,52_0,COMPLETED,BoTorch,-0.2188413143157959,177.45730790911904
53,53_0,COMPLETED,BoTorch,-0.2170795202255249,205.33100026719583
54,54_0,COMPLETED,BoTorch,-0.23039641976356506,187.82860634495538
55,55_0,COMPLETED,BoTorch,-0.22491300106048584,165.77011213253797
56,56_0,COMPLETED,BoTorch,-0.23159995675086975,198.7052708636137
57,57_0,COMPLETED,BoTorch,-0.222935289144516,180.2535100117319
58,58_0,COMPLETED,BoTorch,-0.24728725850582123,185.04581996254012
59,59_0,COMPLETED,BoTorch,-0.2265280932188034,190.66266078449524
60,60_0,COMPLETED,BoTorch,-0.23935872316360474,174.96268008533255
61,61_0,COMPLETED,BoTorch,-0.2253088653087616,159.46339855463327
62,62_0,COMPLETED,BoTorch,-0.26108360290527344,211.7890330595986
63,63_0,COMPLETED,BoTorch,-0.2250247746706009,168.7109527660476
64,64_0,COMPLETED,BoTorch,-0.21891671419143677,162.87099031376448
65,65_0,COMPLETED,BoTorch,-0.21903762221336365,173.57182341563453
66,66_0,COMPLETED,BoTorch,-0.22348368167877197,154.0100095950927
67,67_0,COMPLETED,BoTorch,-0.21522623300552368,170.3709105712862
68,68_0,COMPLETED,BoTorch,-0.23531746864318848,176.3328237185938
69,69_0,COMPLETED,BoTorch,-0.23721933364868164,178.80640891546213
70,70_0,COMPLETED,BoTorch,-0.22520816326141357,196.03576197419315
71,71_0,COMPLETED,BoTorch,-0.21997269988059998,176.2622929112197
72,72_0,COMPLETED,BoTorch,-0.2266058623790741,176.22389451283846
73,73_0,COMPLETED,BoTorch,-0.22398532927036285,181.80702725905567
74,74_0,COMPLETED,BoTorch,-0.22411006689071655,172.70847036980035
75,75_0,COMPLETED,BoTorch,-0.23323330283164978,184.7959358852309
76,76_0,COMPLETED,BoTorch,-0.23993945121765137,177.04841843587073
77,77_0,COMPLETED,BoTorch,-0.2340458780527115,168.18752550483214
78,78_0,COMPLETED,BoTorch,-0.24776241183280945,187.12145700811053
79,79_0,COMPLETED,BoTorch,-0.2356370985507965,163.87075505250556
80,80_0,COMPLETED,BoTorch,-0.2534835934638977,161.63191161250637
81,81_0,COMPLETED,BoTorch,-0.22487276792526245,191.196418332066
82,82_0,COMPLETED,BoTorch,-0.23862147331237793,174.98266704323453
83,83_0,COMPLETED,BoTorch,-0.22923435270786285,180.30432559648628
84,84_0,COMPLETED,BoTorch,-0.23996129631996155,189.65624949485897
85,85_0,COMPLETED,BoTorch,-0.23959994316101074,194.5349857376705
86,86_0,COMPLETED,BoTorch,-0.23793025314807892,166.21345291070642
87,87_0,COMPLETED,BoTorch,-0.22648155689239502,200.1202052422215
88,88_0,COMPLETED,BoTorch,-0.23083674907684326,170.00104039269334
89,89_0,COMPLETED,BoTorch,-0.2204860895872116,207.900906811528
90,90_0,COMPLETED,BoTorch,-0.23600085079669952,182.97773881673382
91,91_0,COMPLETED,BoTorch,-0.2449188530445099,179.73904984689491
92,92_0,COMPLETED,BoTorch,-0.20910431444644928,185.14446405148828
93,93_0,COMPLETED,BoTorch,-0.23485156893730164,170.75598057006178
94,94_0,COMPLETED,BoTorch,-0.21971683204174042,181.88334668160786
95,95_0,COMPLETED,BoTorch,-0.23673509061336517,187.4006644479091
96,96_0,COMPLETED,BoTorch,-0.23615846037864685,156.39290717279826
97,97_0,COMPLETED,BoTorch,-0.22328069806098938,190.81858611253315
98,98_0,COMPLETED,BoTorch,-0.22221262753009796,201.46421545375335
99,99_0,COMPLETED,BoTorch,-0.22086790204048157,202.9789874539495
100,100_0,COMPLETED,BoTorch,-0.21216776967048645,193.0622583732556
101,101_0,COMPLETED,BoTorch,-0.22224640846252441,202.175680684312
102,102_0,COMPLETED,BoTorch,-0.2153705358505249,196.315472010579
103,103_0,COMPLETED,BoTorch,-0.22382855415344238,197.93120324606738
104,104_0,COMPLETED,BoTorch,-0.2359941303730011,195.32190359506745
105,105_0,COMPLETED,BoTorch,-0.23608390986919403,155.7571987291937
106,106_0,COMPLETED,BoTorch,-0.22947478294372559,187.10953530270498
107,107_0,COMPLETED,BoTorch,-0.24486036598682404,192.52530213098535
108,108_0,COMPLETED,BoTorch,-0.2403421550989151,187.16448863302463
109,109_0,COMPLETED,BoTorch,-0.2412552833557129,210.317633234428
110,110_0,COMPLETED,BoTorch,-0.22505317628383636,183.89375956364563
111,111_0,COMPLETED,BoTorch,-0.23145820200443268,179.56464278108635
112,112_0,COMPLETED,BoTorch,-0.2532041370868683,174.0576700093905
113,113_0,COMPLETED,BoTorch,-0.24770432710647583,209.7120196122907
114,114_0,COMPLETED,BoTorch,-0.24293513596057892,171.793213659041
115,115_0,COMPLETED,BoTorch,-0.24818120896816254,161.51988964678762
116,116_0,COMPLETED,BoTorch,-0.22568455338478088,198.1234302958636
117,117_0,COMPLETED,BoTorch,-0.21828307211399078,189.64044701621393
118,118_0,COMPLETED,BoTorch,-0.2202247977256775,205.65696786155573
119,119_0,COMPLETED,BoTorch,-0.22272036969661713,182.6035713188262
120,120_0,COMPLETED,BoTorch,-0.218855082988739,189.23422121038536
121,121_0,COMPLETED,BoTorch,-0.2142735868692398,211.13706602018544
122,122_0,COMPLETED,BoTorch,-0.20623499155044556,199.6388465771519
123,123_0,COMPLETED,BoTorch,-0.23698696494102478,214.39417334611798
124,124_0,COMPLETED,BoTorch,-0.24246737360954285,165.69466664545422
125,125_0,COMPLETED,BoTorch,-0.22842589020729065,184.85458206231766
126,126_0,COMPLETED,BoTorch,-0.2517068386077881,193.79876892858795
127,127_0,COMPLETED,BoTorch,-0.23317545652389526,199.9570402230501
128,128_0,COMPLETED,BoTorch,-0.24484683573246002,191.47792885862663
129,129_0,COMPLETED,BoTorch,-0.21588784456253052,200.55637755381014
130,130_0,COMPLETED,BoTorch,-0.21095988154411316,203.88735389294243
131,131_0,COMPLETED,BoTorch,-0.21472616493701935,202.09773115142454
132,132_0,COMPLETED,BoTorch,-0.21912211179733276,195.7648518783982
133,133_0,COMPLETED,BoTorch,-0.22602754831314087,175.57634141338698
134,134_0,COMPLETED,BoTorch,-0.23424185812473297,196.2239167173665
135,135_0,COMPLETED,BoTorch,-0.2141222506761551,191.70585637541993
136,136_0,COMPLETED,BoTorch,-0.21334290504455566,217.58564637353217
137,137_0,COMPLETED,BoTorch,-0.21584559977054596,185.83757177963275
138,138_0,COMPLETED,BoTorch,-0.2051715850830078,208.3731530355352
139,139_0,COMPLETED,BoTorch,-0.23011086881160736,205.4571207368533
140,140_0,COMPLETED,BoTorch,-0.22461147606372833,168.03791510123935
141,141_0,COMPLETED,BoTorch,-0.22944706678390503,207.5822387061607
142,142_0,COMPLETED,BoTorch,-0.22953541576862335,203.07188488164317
143,143_0,COMPLETED,BoTorch,-0.26310738921165466,169.71206830658383
144,144_0,COMPLETED,BoTorch,-0.21918688714504242,189.30029527748843
145,145_0,COMPLETED,BoTorch,-0.22033466398715973,198.362855110539
146,146_0,COMPLETED,BoTorch,-0.23390962183475494,215.04031285002725
147,147_0,COMPLETED,BoTorch,-0.2402007132768631,208.08359631761988
148,148_0,COMPLETED,BoTorch,-0.22275973856449127,225.63458324761612
149,149_0,COMPLETED,BoTorch,-0.2398560792207718,170.28827473870317
