trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.444040447473526,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.4028722047805786,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.6527858376502991,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.6964946389198303,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.6319425106048584,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.4569713771343231,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.37030458450317383,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.5907601118087769,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.5992081165313721,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.31715109944343567,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.5619152784347534,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.6829829216003418,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.6890814900398254,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.5673640370368958,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.36470386385917664,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.5298007130622864,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.5020039677619934,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.33135098218917847,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.5702498555183411,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.707445502281189,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.6678611040115356,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.5642493367195129,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.2652028203010559,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.5629494190216064,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.6536710262298584,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.300045907497406,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.4503057599067688,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.6487716436386108,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.6895797252655029,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.6011168360710144,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.40047913789749146,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.46449360251426697,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.4739703834056854,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.3996855616569519,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.6176798343658447,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.6808795928955078,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.6565782427787781,0.03134772783433069
37,37_0,COMPLETED,Sobol,-0.4125344157218933,182.94294550269228
38,38_0,COMPLETED,Sobol,-0.33621636033058167,82.39707263021225
39,39_0,COMPLETED,Sobol,-0.6157077550888062,0.07727873004408126
40,40_0,COMPLETED,Sobol,-0.5515145659446716,0.3322826650782107
41,41_0,COMPLETED,Sobol,-0.3389410674571991,47.257289227670434
42,42_0,COMPLETED,Sobol,-0.572831928730011,873.7176600494571
43,43_0,COMPLETED,Sobol,-0.6694747805595398,0.019959923620427623
44,44_0,COMPLETED,Sobol,-0.6793233752250671,0.0056100797167082
45,45_0,COMPLETED,Sobol,-0.5667853355407715,3145.0665253620828
46,46_0,COMPLETED,Sobol,-0.34441572427749634,21.051445604830217
47,47_0,COMPLETED,Sobol,-0.48906856775283813,0.7372471767893256
48,48_0,COMPLETED,Sobol,-0.534436821937561,0.6133363216244101
