trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.6164792776107788,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.6701840162277222,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.713487982749939,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.4835584759712219,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.5224337577819824,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.7411511540412903,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.6791459321975708,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.5650315284729004,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.5200246572494507,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.6759489178657532,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.7445977330207825,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.4583512544631958,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.46181660890579224,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.7075284123420715,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.663097083568573,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.5351215600967407,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.591716468334198,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.6784402132034302,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.6982599496841431,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.4737534821033478,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.4811156094074249,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.7205566167831421,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.6876144409179688,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.5422712564468384,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.5234346389770508,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.7000540494918823,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.7239772081375122,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.4914277493953705,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.4830371141433716,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.6872724294662476,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.6520580649375916,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.5913769006729126,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.5908076167106628,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.6517572402954102,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.6928456425666809,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.4824991226196289,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.48879319429397583,0.03134772783433069
37,37_0,COMPLETED,Sobol,-0.6894928812980652,182.94294550269228
38,38_0,COMPLETED,Sobol,-0.6770679950714111,82.39707263021225
39,39_0,COMPLETED,Sobol,-0.5549493432044983,0.07727873004408126
40,40_0,COMPLETED,Sobol,-0.5552278161048889,0.3322826650782107
41,41_0,COMPLETED,Sobol,-0.6702854633331299,47.257289227670434
42,42_0,COMPLETED,Sobol,-0.7167366743087769,873.7176600494571
43,43_0,COMPLETED,Sobol,-0.47975030541419983,0.019959923620427623
44,44_0,COMPLETED,Sobol,-0.4851384162902832,0.0056100797167082
45,45_0,COMPLETED,Sobol,-0.6949809193611145,3145.0665253620828
46,46_0,COMPLETED,Sobol,-0.6772632598876953,21.051445604830217
47,47_0,COMPLETED,Sobol,-0.550288200378418,0.7372471767893256
48,48_0,COMPLETED,Sobol,-0.5491417050361633,0.6133363216244101
49,49_0,COMPLETED,Sobol,-0.6716182231903076,10.604055266782089
50,50_0,COMPLETED,BoTorch,-0.47816455364227295,0.00943553826983536
51,51_0,COMPLETED,BoTorch,-0.4843564033508301,0.001
52,52_0,COMPLETED,BoTorch,-0.47774526476860046,0.004477913058225463
53,53_0,COMPLETED,BoTorch,-0.5004697442054749,0.0026332997646197607
54,54_0,COMPLETED,BoTorch,-0.46023470163345337,0.010764195139041755
55,55_0,COMPLETED,BoTorch,-0.4891994595527649,0.008124073218907074
56,56_0,COMPLETED,BoTorch,-0.4986354410648346,0.01346678777682406
57,57_0,COMPLETED,BoTorch,-0.5123162269592285,0.007235560712601686
58,58_0,COMPLETED,BoTorch,-0.4912261366844177,0.0022143477918840685
59,59_0,COMPLETED,BoTorch,-0.49557483196258545,0.016522545820595504
60,60_0,COMPLETED,BoTorch,-0.46166327595710754,0.003791779407594902
61,61_0,COMPLETED,BoTorch,-0.4733806252479553,0.0050122365315969815
62,62_0,COMPLETED,BoTorch,-0.5183910727500916,0.0013523904008553372
63,63_0,COMPLETED,BoTorch,-0.46452268958091736,0.008811873244781832
64,64_0,COMPLETED,BoTorch,-0.48691219091415405,0.006102913410767898
65,65_0,COMPLETED,BoTorch,-0.48767897486686707,0.00410322635930139
66,66_0,COMPLETED,BoTorch,-0.4688373804092407,0.0029556030418620596
67,67_0,COMPLETED,BoTorch,-0.45268896222114563,0.009970748377438039
68,68_0,COMPLETED,BoTorch,-0.4653063118457794,0.01132323346251518
69,69_0,COMPLETED,BoTorch,-0.4812380075454712,0.008425754823404198
70,70_0,COMPLETED,BoTorch,-0.48369836807250977,0.007622998301720832
71,71_0,COMPLETED,BoTorch,-0.4869759976863861,0.012762443149419501
72,72_0,COMPLETED,BoTorch,-0.48916611075401306,0.010353691418450925
73,73_0,COMPLETED,BoTorch,-0.4830045998096466,0.005232521201045154
74,74_0,COMPLETED,BoTorch,-0.46777722239494324,0.003518642419263469
75,75_0,COMPLETED,BoTorch,-0.5032435655593872,0.011740478660544758
76,76_0,COMPLETED,BoTorch,-0.47606852650642395,0.003203390264266486
