trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.4407031834125519,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.4040469825267792,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.7290127873420715,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.6946169137954712,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.6117936372756958,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.6195778846740723,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.5487931370735168,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.5752425789833069,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.566786527633667,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.3703964352607727,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.6536642909049988,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.6704162359237671,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.6891099214553833,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.6561988592147827,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.3719748258590698,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.5519712567329407,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.48601678013801575,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.3785124123096466,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.6633827686309814,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.6919994354248047,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.6847349405288696,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.6735948920249939,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.4463866353034973,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.5441846251487732,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.657819926738739,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.4660114645957947,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.6363587379455566,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.6703227162361145,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.6868129372596741,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.6906906962394714,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.4202403128147125,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.4633137881755829,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.4661543667316437,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.3878036141395569,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.7211466431617737,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.6673476696014404,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.6540620923042297,0.03134772783433069
37,37_0,COMPLETED,Sobol,-0.5442957282066345,182.94294550269228
38,38_0,COMPLETED,Sobol,-0.46113812923431396,82.39707263021225
39,39_0,COMPLETED,Sobol,-0.647040069103241,0.07727873004408126
40,40_0,COMPLETED,Sobol,-0.550643801689148,0.3322826650782107
41,41_0,COMPLETED,Sobol,-0.40476977825164795,47.257289227670434
42,42_0,COMPLETED,Sobol,-0.661202073097229,873.7176600494571
43,43_0,COMPLETED,Sobol,-0.6788492202758789,0.019959923620427623
44,44_0,COMPLETED,Sobol,-0.6964585185050964,0.0056100797167082
45,45_0,COMPLETED,Sobol,-0.6689500212669373,3145.0665253620828
46,46_0,COMPLETED,Sobol,-0.348235547542572,21.051445604830217
47,47_0,COMPLETED,Sobol,-0.4940740466117859,0.7372471767893256
48,48_0,COMPLETED,Sobol,-0.504258394241333,0.6133363216244101
49,49_0,COMPLETED,Sobol,-0.3842151463031769,10.604055266782089
50,50_0,COMPLETED,BoTorch,-0.3697604238986969,15.907873710737688
51,51_0,COMPLETED,BoTorch,-0.407658189535141,23.647882663436178
52,52_0,COMPLETED,BoTorch,-0.39042168855667114,14.397562837459235
53,53_0,COMPLETED,BoTorch,-0.3533756136894226,19.501263406395786
