trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.5560860633850098,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.4206966757774353,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.8882707357406616,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.6801971197128296,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.6943079233169556,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.3983358144760132,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.3876782953739166,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.7028968334197998,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.6921876072883606,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.3846716284751892,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.5032541751861572,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.6945008635520935,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.68178391456604,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.8032267689704895,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.4263140559196472,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.6818948984146118,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.6329063177108765,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.4030110239982605,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.8167475461959839,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.6801651120185852,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.7130087614059448,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.7390117049217224,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.34784603118896484,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.6566537618637085,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.6811912655830383,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.37894532084465027,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.39042750000953674,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.6888136863708496,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.701292872428894,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.8501143455505371,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.512748658657074,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.612028181552887,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.6055786609649658,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.4667566120624542,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.8516687154769897,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.6891623735427856,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.6797341108322144,0.03134772783433069
37,37_0,COMPLETED,Sobol,-0.3774096369743347,182.94294550269228
38,38_0,COMPLETED,Sobol,-0.3775278329849243,82.39707263021225
39,39_0,COMPLETED,Sobol,-0.699771523475647,0.07727873004408126
40,40_0,COMPLETED,Sobol,-0.6720131039619446,0.3322826650782107
41,41_0,COMPLETED,Sobol,-0.38888299465179443,47.257289227670434
42,42_0,COMPLETED,Sobol,-0.7211090326309204,873.7176600494571
43,43_0,COMPLETED,Sobol,-0.6709545850753784,0.019959923620427623
44,44_0,COMPLETED,Sobol,-0.6794187426567078,0.0056100797167082
45,45_0,COMPLETED,Sobol,-0.8480879664421082,3145.0665253620828
46,46_0,COMPLETED,Sobol,-0.4077299237251282,21.051445604830217
47,47_0,COMPLETED,Sobol,-0.631412148475647,0.7372471767893256
48,48_0,COMPLETED,Sobol,-0.65996253490448,0.6133363216244101
49,49_0,COMPLETED,Sobol,-0.4562191069126129,10.604055266782089
50,50_0,COMPLETED,BoTorch,-0.3966768980026245,55.58925469116921
51,51_0,COMPLETED,BoTorch,-0.3857280910015106,160.34421193860027
52,52_0,COMPLETED,BoTorch,-0.3595414161682129,38.3261991638018
53,53_0,COMPLETED,BoTorch,-0.3517330586910248,71.33715341183485
54,54_0,COMPLETED,BoTorch,-0.38942188024520874,111.350392587808
55,55_0,COMPLETED,BoTorch,-0.3986177444458008,201.19593444946256
56,56_0,COMPLETED,BoTorch,-0.3667631149291992,42.449664603483
57,57_0,COMPLETED,BoTorch,-0.3513415455818176,51.46806322438152
58,58_0,COMPLETED,BoTorch,-0.36497122049331665,59.50745990308918
59,59_0,COMPLETED,BoTorch,-0.3777537941932678,67.74020849239251
60,60_0,COMPLETED,BoTorch,-0.3728295564651489,35.032647194377354
61,61_0,COMPLETED,BoTorch,-0.35720711946487427,44.966123728277395
62,62_0,COMPLETED,BoTorch,-0.37463250756263733,49.63734691463611
63,63_0,COMPLETED,BoTorch,-0.34590357542037964,53.69224409297235
64,64_0,COMPLETED,BoTorch,-0.3938175439834595,78.18409573155309
65,65_0,COMPLETED,BoTorch,-0.38389256596565247,40.723185832976824
66,66_0,COMPLETED,BoTorch,-0.35771000385284424,57.56885601731259
67,67_0,COMPLETED,BoTorch,-0.39789313077926636,176.73787954971104
68,68_0,COMPLETED,BoTorch,-0.3884684443473816,30.88148345269807
69,69_0,COMPLETED,BoTorch,-0.35897496342658997,61.11353003863848
70,70_0,COMPLETED,BoTorch,-0.37995386123657227,121.86140730608504
71,71_0,COMPLETED,BoTorch,-0.3535671532154083,48.4745401318447
72,72_0,COMPLETED,BoTorch,-0.37536925077438354,52.72284139369236
73,73_0,COMPLETED,BoTorch,-0.36593684554100037,65.39200469479805
74,74_0,COMPLETED,BoTorch,-0.37295880913734436,43.45767368559872
75,75_0,COMPLETED,BoTorch,-0.3894806206226349,91.63706626423092
76,76_0,COMPLETED,BoTorch,-0.37375977635383606,46.283403081592944
77,77_0,COMPLETED,BoTorch,-0.3936108350753784,54.52452931521731
78,78_0,COMPLETED,BoTorch,-0.3849865794181824,124.98971963116385
