trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.6556010842323303,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.6851159334182739,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.6833504438400269,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.5172311663627625,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.5951660871505737,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.7331739068031311,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.6839183568954468,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.5908048152923584,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.5989161133766174,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.6760841608047485,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.748306155204773,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.5222421288490295,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.48646509647369385,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.6970159411430359,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.6937616467475891,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.6004628539085388,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.6340481638908386,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.6991910338401794,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.7044562101364136,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.5028284788131714,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.552111804485321,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.7283599376678467,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.6885764598846436,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.5972235202789307,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.5928891897201538,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.69498610496521,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.7353557348251343,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.555080235004425,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.532662034034729,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.7173051834106445,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.6806939840316772,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.6504418253898621,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.6376035809516907,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.6791176795959473,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.6996230483055115,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.4980115294456482,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.5710382461547852,0.03134772783433069
37,37_0,COMPLETED,Sobol,-0.7256331443786621,182.94294550269228
38,38_0,COMPLETED,Sobol,-0.718961775302887,82.39707263021225
39,39_0,COMPLETED,Sobol,-0.6157037019729614,0.07727873004408126
40,40_0,COMPLETED,Sobol,-0.618415117263794,0.3322826650782107
41,41_0,COMPLETED,Sobol,-0.6830319166183472,47.257289227670434
42,42_0,COMPLETED,Sobol,-0.7448982000350952,873.7176600494571
43,43_0,COMPLETED,Sobol,-0.558032214641571,0.019959923620427623
44,44_0,COMPLETED,Sobol,-0.5217459201812744,0.0056100797167082
45,45_0,COMPLETED,Sobol,-0.6972469091415405,3145.0665253620828
46,46_0,COMPLETED,Sobol,-0.6939831376075745,21.051445604830217
47,47_0,COMPLETED,Sobol,-0.6219046115875244,0.7372471767893256
48,48_0,COMPLETED,Sobol,-0.6068513989448547,0.6133363216244101
49,49_0,COMPLETED,Sobol,-0.6869832873344421,10.604055266782089
50,50_0,COMPLETED,BoTorch,-0.500158965587616,0.001
51,51_0,COMPLETED,BoTorch,-0.48718592524528503,0.0026590041179793177
52,52_0,COMPLETED,BoTorch,-0.4926413297653198,0.004016198231565835
53,53_0,COMPLETED,BoTorch,-0.5021427273750305,0.0022765125326423647
54,54_0,COMPLETED,BoTorch,-0.5023640990257263,0.0029951099097288267
55,55_0,COMPLETED,BoTorch,-0.5034122467041016,0.004456087323272102
56,56_0,COMPLETED,BoTorch,-0.4950425326824188,0.0036109879856968644
57,57_0,COMPLETED,BoTorch,-0.5014260411262512,0.002497978095647218
58,58_0,COMPLETED,BoTorch,-0.48870614171028137,0.0028531047940209674
59,59_0,COMPLETED,BoTorch,-0.5045927166938782,0.003149668351784366
60,60_0,COMPLETED,BoTorch,-0.48828908801078796,0.0021073281539757223
61,61_0,COMPLETED,BoTorch,-0.4903067946434021,0.0014197803972363279
62,62_0,COMPLETED,BoTorch,-0.4955591857433319,0.0017158630042325702
63,63_0,COMPLETED,BoTorch,-0.46897682547569275,0.0023802478407841544
64,64_0,COMPLETED,BoTorch,-0.4757399260997772,0.0012727897888881142
65,65_0,COMPLETED,BoTorch,-0.49682191014289856,0.002016982574941815
66,50_0,COMPLETED,BoTorch,-0.5247251391410828,0.001
67,67_0,COMPLETED,BoTorch,-0.4908005893230438,0.0027586998314279797
68,68_0,COMPLETED,BoTorch,-0.49787846207618713,0.002180048417743667
69,69_0,COMPLETED,BoTorch,-0.4726056754589081,0.002569168353517667
