trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.6274445056915283,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.5434722304344177,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.5570066571235657,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.6692194938659668,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.6802125573158264,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.15593406558036804,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.25788024067878723,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.6719140410423279,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.6701931357383728,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.4763522446155548,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.23455774784088135,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.660041332244873,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.6931111216545105,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.434551864862442,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.513360857963562,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.6619957089424133,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.648097574710846,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.5040096640586853,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.44011470675468445,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.7095329761505127,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.6837112307548523,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.400582879781723,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.3950617015361786,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.6541053056716919,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.6852262020111084,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.30498605966567993,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.1784476637840271,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.6845460534095764,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.6777030229568481,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.470284640789032,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.5821418166160583,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.6369045376777649,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.638757586479187,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.5989948511123657,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.5059666633605957,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.6759598851203918,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.696628987789154,0.03134772783433069
37,37_0,COMPLETED,Sobol,-0.20914512872695923,182.94294550269228
38,38_0,COMPLETED,Sobol,-0.3510679304599762,82.39707263021225
39,39_0,COMPLETED,Sobol,-0.6596308350563049,0.07727873004408126
40,40_0,COMPLETED,Sobol,-0.6508927941322327,0.3322826650782107
41,41_0,COMPLETED,Sobol,-0.4139144718647003,47.257289227670434
42,42_0,COMPLETED,Sobol,-0.37088823318481445,873.7176600494571
43,43_0,COMPLETED,Sobol,-0.6981076598167419,0.019959923620427623
44,44_0,COMPLETED,Sobol,-0.692789614200592,0.0056100797167082
45,45_0,COMPLETED,Sobol,-0.4819985628128052,3145.0665253620828
46,46_0,COMPLETED,Sobol,-0.48012053966522217,21.051445604830217
47,47_0,COMPLETED,Sobol,-0.6694437861442566,0.7372471767893256
48,48_0,COMPLETED,Sobol,-0.6590074896812439,0.6133363216244101
49,49_0,COMPLETED,Sobol,-0.549306333065033,10.604055266782089
50,50_0,COMPLETED,BoTorch,-0.1560242474079132,277.29405093397463
51,51_0,COMPLETED,BoTorch,-0.1582765281200409,310.7249245124805
52,52_0,COMPLETED,BoTorch,-0.16638348996639252,288.3232314816029
53,53_0,COMPLETED,BoTorch,-0.1618075966835022,267.30621648619444
54,54_0,COMPLETED,BoTorch,-0.17524568736553192,283.19838664757214
55,55_0,COMPLETED,BoTorch,-0.17250022292137146,303.64582060746983
56,56_0,COMPLETED,BoTorch,-0.15031218528747559,321.20915648896784
57,57_0,COMPLETED,BoTorch,-0.15961460769176483,293.34462287455597
58,58_0,COMPLETED,BoTorch,-0.16855448484420776,273.400580761715
59,59_0,COMPLETED,BoTorch,-0.15678568184375763,315.66146590141983
60,60_0,COMPLETED,BoTorch,-0.15707574784755707,333.23029670568394
61,61_0,COMPLETED,BoTorch,-0.16338175535202026,306.838153502466
62,62_0,COMPLETED,BoTorch,-0.17668530344963074,300.8936656115945
63,63_0,COMPLETED,BoTorch,-0.16575179994106293,325.84407157037595
64,64_0,COMPLETED,BoTorch,-0.14759677648544312,295.70796643785945
65,65_0,COMPLETED,BoTorch,-0.1651778221130371,286.02095138068927
66,66_0,COMPLETED,BoTorch,-0.177385151386261,280.7217878321568
67,67_0,COMPLETED,BoTorch,-0.160182386636734,253.96523867010714
68,68_0,COMPLETED,BoTorch,-0.17846529185771942,298.2488810266829
69,69_0,COMPLETED,BoTorch,-0.16538898646831512,306.172920355807
70,70_0,COMPLETED,BoTorch,-0.1660872846841812,291.4249664321123
71,71_0,COMPLETED,BoTorch,-0.15740591287612915,298.1555494521183
72,72_0,COMPLETED,BoTorch,-0.17687371373176575,312.9572795098441
73,73_0,COMPLETED,BoTorch,-0.17938733100891113,317.45957777425554
74,74_0,COMPLETED,BoTorch,-0.15663649141788483,299.3181461146825
75,75_0,COMPLETED,BoTorch,-0.16137461364269257,286.20411994543264
76,76_0,COMPLETED,BoTorch,-0.15584005415439606,286.3550583348435
77,77_0,COMPLETED,BoTorch,-0.15496191382408142,280.65394327571966
78,78_0,COMPLETED,BoTorch,-0.159648597240448,270.9254857359675
79,79_0,COMPLETED,BoTorch,-0.1832965910434723,261.004846216326
80,80_0,COMPLETED,BoTorch,-0.1582680642604828,291.15859647955244
81,81_0,COMPLETED,BoTorch,-0.1745978742837906,294.3547062787746
82,82_0,COMPLETED,BoTorch,-0.16593754291534424,304.1780576254113
83,83_0,COMPLETED,BoTorch,-0.1574801802635193,310.0955293664261
84,84_0,COMPLETED,BoTorch,-0.15648986399173737,257.4466759333516
85,85_0,COMPLETED,BoTorch,-0.16609802842140198,278.20728418466865
86,86_0,COMPLETED,BoTorch,-0.16381099820137024,291.37010727978435
87,87_0,COMPLETED,BoTorch,-0.1609521359205246,269.539106853642
88,88_0,COMPLETED,BoTorch,-0.17620337009429932,276.4603207866828
89,89_0,COMPLETED,BoTorch,-0.15320710837841034,283.21783492250864
90,90_0,COMPLETED,BoTorch,-0.16587498784065247,312.3965904182542
91,91_0,COMPLETED,BoTorch,-0.1673491895198822,264.2486310140511
92,92_0,COMPLETED,BoTorch,-0.1573827862739563,258.61822058157594
93,93_0,COMPLETED,BoTorch,-0.1595505028963089,247.74852414170266
94,94_0,COMPLETED,BoTorch,-0.17171414196491241,307.73922925163646
95,95_0,COMPLETED,BoTorch,-0.1520608365535736,261.30510160752567
96,96_0,COMPLETED,BoTorch,-0.15601617097854614,274.28746630687095
97,97_0,COMPLETED,BoTorch,-0.1647840440273285,289.62822340223994
98,98_0,COMPLETED,BoTorch,-0.1584128439426422,272.90656352326437
99,99_0,COMPLETED,BoTorch,-0.15306837856769562,251.15600200612596
100,100_0,COMPLETED,BoTorch,-0.14194367825984955,278.28305275518693
101,101_0,COMPLETED,BoTorch,-0.17222607135772705,267.45705647645286
102,102_0,COMPLETED,BoTorch,-0.18060420453548431,265.329242605064
103,103_0,COMPLETED,BoTorch,-0.15841278433799744,284.696841885051
104,104_0,COMPLETED,BoTorch,-0.14801855385303497,301.45738626946496
105,105_0,COMPLETED,BoTorch,-0.1480168104171753,273.8357333091218
106,106_0,COMPLETED,BoTorch,-0.1471373736858368,294.9864779627334
107,107_0,COMPLETED,BoTorch,-0.14759397506713867,277.25725409633293
108,108_0,COMPLETED,BoTorch,-0.16586169600486755,251.2595883286008
109,109_0,COMPLETED,BoTorch,-0.16375772655010223,281.37633985345286
110,110_0,COMPLETED,BoTorch,-0.16432689130306244,289.5600212277046
111,111_0,COMPLETED,BoTorch,-0.1521407514810562,259.2777736049834
112,112_0,COMPLETED,BoTorch,-0.1545114368200302,252.2433153633732
113,113_0,COMPLETED,BoTorch,-0.1652299165725708,270.9145821189563
114,114_0,COMPLETED,BoTorch,-0.16662359237670898,284.0727729552492
115,115_0,COMPLETED,BoTorch,-0.15965262055397034,263.0351620656322
116,116_0,COMPLETED,BoTorch,-0.1584886759519577,300.27930246203255
117,117_0,COMPLETED,BoTorch,-0.17401562631130219,275.02674968960247
118,118_0,COMPLETED,BoTorch,-0.16463831067085266,288.6911068093016
119,119_0,COMPLETED,BoTorch,-0.1654644012451172,281.6687581669894
120,120_0,COMPLETED,BoTorch,-0.16304458677768707,253.3402694741383
121,121_0,COMPLETED,BoTorch,-0.17151229083538055,292.09092579504755
122,122_0,COMPLETED,BoTorch,-0.15249133110046387,323.0111723939184
123,123_0,COMPLETED,BoTorch,-0.1637629121541977,264.9046082638106
124,124_0,COMPLETED,BoTorch,-0.15224406123161316,295.19550511268864
125,125_0,COMPLETED,BoTorch,-0.15680505335330963,258.2446968647402
126,126_0,COMPLETED,BoTorch,-0.17138521373271942,280.16797736894
127,127_0,COMPLETED,BoTorch,-0.16156227886676788,282.9917925305807
128,128_0,COMPLETED,BoTorch,-0.18259234726428986,277.574875031688
129,129_0,COMPLETED,BoTorch,-0.1625017672777176,301.88681605373057
130,130_0,COMPLETED,BoTorch,-0.14139120280742645,316.89112325509313
131,131_0,COMPLETED,BoTorch,-0.1721116304397583,317.83395575599434
132,132_0,COMPLETED,BoTorch,-0.18067216873168945,287.4705224432419
133,133_0,COMPLETED,BoTorch,-0.15381430089473724,268.2260054307726
134,134_0,COMPLETED,BoTorch,-0.17209503054618835,279.48030508923307
135,135_0,COMPLETED,BoTorch,-0.15460798144340515,267.32974277049453
