trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.5724836587905884,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.49997439980506897,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.7478160858154297,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.6713990569114685,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.6815556883811951,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.18959586322307587,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.2404361516237259,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.6828959584236145,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.6555564999580383,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.4988649785518646,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.23074524104595184,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.6762679815292358,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.704198956489563,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.4547118544578552,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.5435982942581177,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.638401210308075,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.5978671312332153,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.48110470175743103,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.48083293437957764,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.6945453882217407,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.6976255178451538,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.332682728767395,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.36915743350982666,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.6503851413726807,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.6905028820037842,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.2940073311328888,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.19227197766304016,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.6972914934158325,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.6734213829040527,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.5771000385284424,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.5329975485801697,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.5947272777557373,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.6073700785636902,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.5322928428649902,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.6019949316978455,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.6734736561775208,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.6731201410293579,0.03134772783433069
37,37_0,COMPLETED,Sobol,-0.18050900101661682,182.94294550269228
38,38_0,COMPLETED,Sobol,-0.33547353744506836,82.39707263021225
39,39_0,COMPLETED,Sobol,-0.6870927810668945,0.07727873004408126
40,40_0,COMPLETED,Sobol,-0.6405200958251953,0.3322826650782107
41,41_0,COMPLETED,Sobol,-0.4344441294670105,47.257289227670434
42,42_0,COMPLETED,Sobol,-0.29458728432655334,873.7176600494571
43,43_0,COMPLETED,Sobol,-0.6807519793510437,0.019959923620427623
44,44_0,COMPLETED,Sobol,-0.7012755870819092,0.0056100797167082
45,45_0,COMPLETED,Sobol,-0.537087619304657,3145.0665253620828
46,46_0,COMPLETED,Sobol,-0.4921286106109619,21.051445604830217
47,47_0,COMPLETED,Sobol,-0.613455593585968,0.7372471767893256
48,48_0,COMPLETED,Sobol,-0.6289767622947693,0.6133363216244101
49,49_0,COMPLETED,Sobol,-0.5024152398109436,10.604055266782089
50,50_0,COMPLETED,BoTorch,-0.1899791657924652,269.7370680071161
51,51_0,COMPLETED,BoTorch,-0.1671273559331894,257.6557075117432
52,52_0,COMPLETED,BoTorch,-0.1820456087589264,281.34647244337884
53,53_0,COMPLETED,BoTorch,-0.1841815710067749,234.9482745259482
54,54_0,COMPLETED,BoTorch,-0.1842241883277893,317.08603892881365
55,55_0,COMPLETED,BoTorch,-0.17120394110679626,289.52516679220446
56,56_0,COMPLETED,BoTorch,-0.17905384302139282,263.97376974241706
57,57_0,COMPLETED,BoTorch,-0.17478801310062408,274.7532165917497
58,58_0,COMPLETED,BoTorch,-0.18958525359630585,252.21096855942008
59,59_0,COMPLETED,BoTorch,-0.16443195939064026,240.22990037079853
60,60_0,COMPLETED,BoTorch,-0.20272299647331238,261.04298245306745
61,61_0,COMPLETED,BoTorch,-0.2018713653087616,307.53290210078666
62,62_0,COMPLETED,BoTorch,-0.18226182460784912,228.55806112136145
63,63_0,COMPLETED,BoTorch,-0.18360207974910736,248.80931074616805
64,64_0,COMPLETED,BoTorch,-0.17765675485134125,252.2393032628448
65,65_0,COMPLETED,BoTorch,-0.1700626164674759,267.4505138104018
66,66_0,COMPLETED,BoTorch,-0.1719866842031479,277.2648910100318
67,67_0,COMPLETED,BoTorch,-0.1980821043252945,285.1215187813638
68,68_0,COMPLETED,BoTorch,-0.18766173720359802,248.85568354809473
69,69_0,COMPLETED,BoTorch,-0.18248586356639862,255.1872231581083
70,70_0,COMPLETED,BoTorch,-0.1835067868232727,251.05024144281617
71,71_0,COMPLETED,BoTorch,-0.17844684422016144,260.0643067272389
72,72_0,COMPLETED,BoTorch,-0.17240071296691895,258.24137336653183
73,73_0,COMPLETED,BoTorch,-0.16927483677864075,218.8604406588375
74,74_0,COMPLETED,BoTorch,-0.19172731041908264,242.98849802900074
75,75_0,COMPLETED,BoTorch,-0.18613086640834808,272.2304802045979
76,76_0,COMPLETED,BoTorch,-0.18464472889900208,240.3031966755477
77,77_0,COMPLETED,BoTorch,-0.18148519098758698,278.7316373650546
78,78_0,COMPLETED,BoTorch,-0.17506465315818787,232.7875065206775
79,79_0,COMPLETED,BoTorch,-0.18603934347629547,263.93228416452376
80,80_0,COMPLETED,BoTorch,-0.201084166765213,245.6473102232597
81,81_0,COMPLETED,BoTorch,-0.1694691926240921,236.22010765003486
82,82_0,COMPLETED,BoTorch,-0.17275294661521912,257.5092809871182
83,83_0,COMPLETED,BoTorch,-0.170549675822258,224.0370556893143
84,84_0,COMPLETED,BoTorch,-0.19388362765312195,243.69754847822875
85,85_0,COMPLETED,BoTorch,-0.1729644387960434,228.72361313856
86,86_0,COMPLETED,BoTorch,-0.17416828870773315,212.04771913700952
87,87_0,COMPLETED,BoTorch,-0.17780396342277527,233.24519920172003
88,88_0,COMPLETED,BoTorch,-0.1730538010597229,212.9839026968754
89,89_0,COMPLETED,BoTorch,-0.18066638708114624,224.93640281803158
90,90_0,COMPLETED,BoTorch,-0.1785964071750641,231.3300956933705
91,91_0,COMPLETED,BoTorch,-0.1801902949810028,239.16330373262852
92,92_0,COMPLETED,BoTorch,-0.17153242230415344,220.19096149892667
93,93_0,COMPLETED,BoTorch,-0.1894986629486084,216.93137143084869
94,94_0,COMPLETED,BoTorch,-0.18553763628005981,238.52332606908212
95,95_0,COMPLETED,BoTorch,-0.1786433905363083,221.56606902443107
96,96_0,COMPLETED,BoTorch,-0.17214953899383545,226.96562945808404
97,97_0,COMPLETED,BoTorch,-0.18659566342830658,236.2385040008259
98,98_0,COMPLETED,BoTorch,-0.20077425241470337,264.09570961028965
99,99_0,COMPLETED,BoTorch,-0.1724427193403244,227.2859642074656
100,100_0,COMPLETED,BoTorch,-0.19045355916023254,254.47969571652624
101,101_0,COMPLETED,BoTorch,-0.1781696230173111,239.2801929730438
102,102_0,COMPLETED,BoTorch,-0.1650296151638031,245.95565882343828
103,103_0,COMPLETED,BoTorch,-0.18169063329696655,294.41046038027366
104,104_0,COMPLETED,BoTorch,-0.17170420289039612,288.0699072743325
105,105_0,COMPLETED,BoTorch,-0.18192966282367706,294.1975079468987
106,106_0,COMPLETED,BoTorch,-0.19279545545578003,231.29857716637372
107,107_0,COMPLETED,BoTorch,-0.1694200485944748,248.68618383764016
108,108_0,COMPLETED,BoTorch,-0.20778344571590424,298.1765568334758
109,109_0,COMPLETED,BoTorch,-0.18723052740097046,203.78093661156896
110,110_0,COMPLETED,BoTorch,-0.1802394688129425,235.8204395397763
111,111_0,COMPLETED,BoTorch,-0.16792085766792297,262.4041553903125
112,112_0,COMPLETED,BoTorch,-0.18356165289878845,241.26810226782902
113,113_0,COMPLETED,BoTorch,-0.19802749156951904,243.63683278041083
114,114_0,COMPLETED,BoTorch,-0.17831338942050934,223.1470783242376
115,115_0,COMPLETED,BoTorch,-0.1826547235250473,234.0901550830998
116,116_0,COMPLETED,BoTorch,-0.1903330683708191,259.2343273612242
117,117_0,COMPLETED,BoTorch,-0.16976295411586761,230.42914411293063
118,118_0,COMPLETED,BoTorch,-0.17212706804275513,242.55465821476318
119,119_0,COMPLETED,BoTorch,-0.18389767408370972,249.7053462693296
120,120_0,COMPLETED,BoTorch,-0.1734399050474167,217.6559850915974
121,121_0,COMPLETED,BoTorch,-0.18677783012390137,229.9168103268796
122,122_0,COMPLETED,BoTorch,-0.18704622983932495,226.41334503304233
123,123_0,COMPLETED,BoTorch,-0.17068912088871002,214.56542586079564
124,124_0,COMPLETED,BoTorch,-0.1733390986919403,205.8071585802514
125,125_0,COMPLETED,BoTorch,-0.17718824744224548,273.2715510158885
126,126_0,COMPLETED,BoTorch,-0.1884002834558487,225.0737268130084
127,127_0,COMPLETED,BoTorch,-0.1707024872303009,216.56748159582258
128,128_0,COMPLETED,BoTorch,-0.17086243629455566,221.44460441562677
129,129_0,COMPLETED,BoTorch,-0.17979705333709717,220.2539111923674
130,130_0,COMPLETED,BoTorch,-0.18484961986541748,208.93815932090192
131,131_0,COMPLETED,BoTorch,-0.18244647979736328,232.03624863172087
132,132_0,COMPLETED,BoTorch,-0.19255797564983368,254.0983347648143
133,133_0,COMPLETED,BoTorch,-0.17416168749332428,254.63466484731217
134,134_0,COMPLETED,BoTorch,-0.1789788007736206,239.5790633926121
135,135_0,COMPLETED,BoTorch,-0.17893114686012268,239.23297065475404
136,136_0,COMPLETED,BoTorch,-0.18394944071769714,275.0105501684399
137,137_0,COMPLETED,BoTorch,-0.17987459897994995,266.7369554566534
138,138_0,COMPLETED,BoTorch,-0.16749298572540283,221.53628427619432
139,139_0,COMPLETED,BoTorch,-0.1694287657737732,211.40811561666064
140,140_0,COMPLETED,BoTorch,-0.17536574602127075,206.426510868318
141,141_0,COMPLETED,BoTorch,-0.16682520508766174,209.6461921254888
142,142_0,COMPLETED,BoTorch,-0.17068621516227722,214.63115026142066
143,143_0,COMPLETED,BoTorch,-0.17240925133228302,203.88483535947393
144,144_0,COMPLETED,BoTorch,-0.17279478907585144,262.79624870748864
145,145_0,COMPLETED,BoTorch,-0.17332522571086884,219.2279526796818
146,146_0,COMPLETED,BoTorch,-0.17046917974948883,228.5421500940698
147,147_0,COMPLETED,BoTorch,-0.21955431997776031,256.32435539190493
148,148_0,COMPLETED,BoTorch,-0.17670279741287231,200.15313750010506
149,149_0,COMPLETED,BoTorch,-0.16636483371257782,215.40900874534216
