trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.3069862127304077,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.6444131135940552,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.6804683208465576,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.5794200301170349,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.4897812008857727,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.6867913603782654,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.7077500820159912,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.3971121907234192,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.321807324886322,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.6874364614486694,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.6915631294250488,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.5000678896903992,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.5442222356796265,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.699550986289978,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.678860604763031,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.2971290349960327,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.32496175169944763,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.683497428894043,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.6927641034126282,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.5267890095710754,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.5071407556533813,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.698021411895752,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.7042094469070435,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.33220550417900085,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.46563631296157837,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.7093080878257751,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.6877349615097046,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.523468554019928,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.578154444694519,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.6985619068145752,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.5206103920936584,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.3206996023654938,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.2969118356704712,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.5470027327537537,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.7218644618988037,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.611897885799408,0.0011611694695247558
