trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,1.1612176895141602,2.1171437703247107
1,1_0,COMPLETED,Sobol,1.906275749206543,8.334163429552671
2,2_0,COMPLETED,Sobol,5.434989929199219,8212.638015892508
3,3_0,COMPLETED,Sobol,0.9837150573730469,0.001889842827262904
4,4_0,COMPLETED,Sobol,0.7812976837158203,0.052640807202046815
5,5_0,COMPLETED,Sobol,5.003094673156738,298.2913265583641
6,6_0,COMPLETED,Sobol,3.728508949279785,134.35744070290974
7,7_0,COMPLETED,Sobol,0.8943080902099609,0.1297940657513337
8,8_0,COMPLETED,Sobol,1.0908842086791992,0.2038020965437322
9,9_0,COMPLETED,Sobol,2.391338348388672,28.14015706041557
10,10_0,COMPLETED,Sobol,5.521655082702637,520.2399975268816
11,11_0,COMPLETED,Sobol,0.9254217147827148,0.012239997961257472
12,12_0,COMPLETED,Sobol,0.8072853088378906,0.0033341952368863615
13,13_0,COMPLETED,Sobol,5.4024457931518555,1932.6460760120394
14,14_0,COMPLETED,Sobol,1.8323659896850586,12.935384164212955
15,15_0,COMPLETED,Sobol,0.7200241088867188,0.43808322199747585
16,16_0,COMPLETED,Sobol,1.0223388671875,1.0001125684884087
17,17_0,COMPLETED,Sobol,2.1964311599731445,17.810130577486994
18,18_0,COMPLETED,Sobol,5.3664445877075195,2318.322549813085
19,19_0,COMPLETED,Sobol,0.9944438934326172,0.006631580550700104
20,20_0,COMPLETED,Sobol,0.9355545043945312,0.014887518536951076
21,21_0,COMPLETED,Sobol,5.443334579467773,1045.057572541195
22,22_0,COMPLETED,Sobol,2.9273033142089844,63.35366627198893
23,23_0,COMPLETED,Sobol,0.8739233016967773,0.2778167170791667
24,24_0,COMPLETED,Sobol,0.992894172668457,0.05764449839708752
25,25_0,COMPLETED,Sobol,3.301382064819336,98.55082361184009
26,26_0,COMPLETED,Sobol,4.665255546569824,245.27393157774324
27,27_0,COMPLETED,Sobol,0.9151697158813477,0.026208236519264242
28,28_0,COMPLETED,Sobol,0.9588003158569336,0.0015752606323655594
29,29_0,COMPLETED,Sobol,5.410313606262207,4128.620092941036
30,30_0,COMPLETED,Sobol,1.0721683502197266,3.651081141903054
31,31_0,COMPLETED,Sobol,0.9419918060302734,1.5378509676710175
32,32_0,COMPLETED,Sobol,0.9870529174804688,1.301063804858965
33,33_0,COMPLETED,Sobol,1.288294792175293,4.952883197968552
34,34_0,COMPLETED,Sobol,5.4302215576171875,4880.381509617365
35,35_0,COMPLETED,Sobol,0.9173154830932617,0.0011611694695247558
36,36_0,COMPLETED,Sobol,0.8687973022460938,0.03134772783433069
37,37_0,COMPLETED,Sobol,4.512786865234375,182.94294550269228
38,38_0,COMPLETED,Sobol,3.1630992889404297,82.39707263021225
39,39_0,COMPLETED,Sobol,0.8798837661743164,0.07727873004408126
40,40_0,COMPLETED,Sobol,1.0515451431274414,0.3322826650782107
41,41_0,COMPLETED,Sobol,2.387523651123047,47.257289227670434
42,42_0,COMPLETED,Sobol,5.461335182189941,873.7176600494571
43,43_0,COMPLETED,Sobol,1.0082721710205078,0.019959923620427623
44,44_0,COMPLETED,Sobol,1.0364055633544922,0.0056100797167082
45,45_0,COMPLETED,Sobol,5.375862121582031,3145.0665253620828
46,46_0,COMPLETED,Sobol,2.1982192993164062,21.051445604830217
47,47_0,COMPLETED,Sobol,0.7950067520141602,0.7372471767893256
48,48_0,COMPLETED,Sobol,0.9586811065673828,0.6133363216244101
49,49_0,COMPLETED,Sobol,1.8035173416137695,10.604055266782089
50,50_0,COMPLETED,BoTorch,0.8560419082641602,0.001
51,51_0,COMPLETED,BoTorch,0.9362697601318359,0.03938168724738282
52,52_0,COMPLETED,BoTorch,0.8914470672607422,0.0025261714255033975
53,53_0,COMPLETED,BoTorch,0.9961128234863281,0.5266485095575824
54,54_0,COMPLETED,BoTorch,0.8133649826049805,0.09352319386734671
55,55_0,COMPLETED,BoTorch,0.9330511093139648,0.06636691552927565
56,56_0,COMPLETED,BoTorch,0.8146762847900391,0.04419776182280218
57,57_0,COMPLETED,BoTorch,0.8220672607421875,0.004185090659106227
58,58_0,COMPLETED,BoTorch,0.7832050323486328,0.002915108704173471
59,59_0,COMPLETED,BoTorch,0.8795261383056641,0.10781833617024582
60,60_0,COMPLETED,BoTorch,0.8525848388671875,0.0022964147322829457
61,61_0,COMPLETED,BoTorch,0.8494853973388672,0.0037506900306106534
62,62_0,COMPLETED,BoTorch,0.9771585464477539,0.02294083548582869
63,63_0,COMPLETED,BoTorch,0.9975433349609375,0.009706200422140059
64,64_0,COMPLETED,BoTorch,0.7702112197875977,0.004749068894892237
65,65_0,COMPLETED,BoTorch,0.8612871170043945,0.00311104689174335
66,66_0,COMPLETED,BoTorch,0.9889602661132812,0.08386154251687807
67,67_0,COMPLETED,BoTorch,0.8751153945922852,0.04774479838721611
68,68_0,COMPLETED,BoTorch,1.0068416595458984,0.0012888186138635058
69,69_0,COMPLETED,BoTorch,1.1649131774902344,1.7590323512737691
70,70_0,COMPLETED,BoTorch,0.8690357208251953,0.1594008094899731
71,71_0,COMPLETED,BoTorch,0.8426904678344727,0.0027324497557972495
72,72_0,COMPLETED,BoTorch,1.0658502578735352,0.0035425422103866917
73,73_0,COMPLETED,BoTorch,0.8304119110107422,0.0021024285085024224
74,74_0,COMPLETED,BoTorch,0.9551048278808594,0.8498490316131886
75,75_0,COMPLETED,BoTorch,1.0117292404174805,0.38959819452110056
76,76_0,COMPLETED,BoTorch,0.8521080017089844,0.017449270069963187
77,77_0,COMPLETED,BoTorch,0.9167194366455078,0.007610582018186654
78,78_0,COMPLETED,BoTorch,0.8448362350463867,0.0720875076941801
79,79_0,COMPLETED,BoTorch,0.9438991546630859,0.14447215559369772
80,80_0,COMPLETED,BoTorch,0.9108781814575195,0.035403125343336894
81,81_0,COMPLETED,BoTorch,1.0883808135986328,0.6734458979418149
82,82_0,COMPLETED,BoTorch,0.9590387344360352,0.11675070260750416
83,83_0,COMPLETED,BoTorch,0.7883310317993164,0.0016961066017313392
84,84_0,COMPLETED,BoTorch,1.0724067687988281,0.0014693059482806063
85,85_0,COMPLETED,BoTorch,0.7272958755493164,0.008651645981064873
86,86_0,COMPLETED,BoTorch,0.8587837219238281,0.06215636881550954
87,87_0,COMPLETED,BoTorch,0.7826089859008789,0.0051184688205158846
88,88_0,COMPLETED,BoTorch,0.9829998016357422,0.006103432491895551
89,89_0,COMPLETED,BoTorch,0.7607936859130859,0.003977259622187953
90,90_0,COMPLETED,BoTorch,0.9000301361083984,0.0044327951077254785
91,91_0,COMPLETED,BoTorch,0.8206367492675781,0.01052707792611964
92,92_0,COMPLETED,BoTorch,0.8412599563598633,0.01367505205662688
93,93_0,COMPLETED,BoTorch,0.9232759475708008,0.24692611459500788
94,94_0,COMPLETED,BoTorch,0.9752511978149414,0.029366415805016814
95,95_0,COMPLETED,BoTorch,0.9200572967529297,0.01620286577473936
96,96_0,COMPLETED,BoTorch,0.9336471557617188,0.002410216704410137
97,97_0,COMPLETED,BoTorch,0.9082555770874023,0.011271865555314156
98,98_0,COMPLETED,BoTorch,0.9622573852539062,0.1717925498252365
99,99_0,COMPLETED,BoTorch,1.0516643524169922,0.17242111634046506
100,100_0,COMPLETED,BoTorch,0.7550716400146484,0.0071479411722995675
101,101_0,COMPLETED,BoTorch,0.9157657623291016,0.009248193736195318
102,102_0,COMPLETED,BoTorch,0.9343624114990234,0.04135682501664627
103,103_0,COMPLETED,BoTorch,0.8803606033325195,0.47026692661887104
104,104_0,COMPLETED,BoTorch,0.8273124694824219,0.00803224870462423
105,50_0,COMPLETED,BoTorch,1.0459423065185547,0.001
106,106_0,COMPLETED,BoTorch,0.9398460388183594,0.5627687491633496
107,107_0,COMPLETED,BoTorch,0.8604526519775391,0.005325719024563624
108,108_0,COMPLETED,BoTorch,1.0159015655517578,0.0031912822530230835
109,109_0,COMPLETED,BoTorch,1.0268688201904297,0.9371243344972451
110,110_0,COMPLETED,BoTorch,0.8603334426879883,0.29591481024102717
111,111_0,COMPLETED,BoTorch,0.9908676147460938,0.7202593573067466
112,112_0,COMPLETED,BoTorch,1.0676383972167969,0.5635288949675563
113,113_0,COMPLETED,BoTorch,0.95367431640625,0.1624077069961105
114,114_0,COMPLETED,BoTorch,0.8052587509155273,0.055433851109498423
115,115_0,COMPLETED,BoTorch,1.0308027267456055,0.006852801077267266
116,116_0,COMPLETED,BoTorch,0.8260011672973633,0.049907747242653074
117,117_0,COMPLETED,BoTorch,0.8282661437988281,0.3565750323375968
118,118_0,COMPLETED,BoTorch,0.8920431137084961,0.06849185144113738
119,119_0,COMPLETED,BoTorch,0.91552734375,0.002633846226478107
