trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,1.2727975845336914,2.1171437703247107
1,1_0,COMPLETED,Sobol,1.9505023956298828,8.334163429552671
2,2_0,COMPLETED,Sobol,4.881739616394043,8212.638015892508
3,3_0,COMPLETED,Sobol,0.882267951965332,0.001889842827262904
4,4_0,COMPLETED,Sobol,0.9726285934448242,0.052640807202046815
5,5_0,COMPLETED,Sobol,4.434823989868164,298.2913265583641
6,6_0,COMPLETED,Sobol,4.228472709655762,134.35744070290974
7,7_0,COMPLETED,Sobol,0.8832216262817383,0.1297940657513337
8,8_0,COMPLETED,Sobol,0.9646415710449219,0.2038020965437322
9,9_0,COMPLETED,Sobol,2.875089645385742,28.14015706041557
10,10_0,COMPLETED,Sobol,4.413962364196777,520.2399975268816
11,11_0,COMPLETED,Sobol,0.7836818695068359,0.012239997961257472
12,12_0,COMPLETED,Sobol,0.8870363235473633,0.0033341952368863615
13,13_0,COMPLETED,Sobol,4.778623580932617,1932.6460760120394
14,14_0,COMPLETED,Sobol,2.2749900817871094,12.935384164212955
15,15_0,COMPLETED,Sobol,1.1370182037353516,0.43808322199747585
16,16_0,COMPLETED,Sobol,1.2171268463134766,1.0001125684884087
17,17_0,COMPLETED,Sobol,2.4449825286865234,17.810130577486994
18,18_0,COMPLETED,Sobol,4.801273345947266,2318.322549813085
19,19_0,COMPLETED,Sobol,0.9489059448242188,0.006631580550700104
20,20_0,COMPLETED,Sobol,0.8952617645263672,0.014887518536951076
21,21_0,COMPLETED,Sobol,4.646658897399902,1045.057572541195
22,22_0,COMPLETED,Sobol,3.54158878326416,63.35366627198893
23,23_0,COMPLETED,Sobol,1.1219978332519531,0.2778167170791667
24,24_0,COMPLETED,Sobol,0.9368658065795898,0.05764449839708752
25,25_0,COMPLETED,Sobol,3.254532814025879,98.55082361184009
26,26_0,COMPLETED,Sobol,4.075169563293457,245.27393157774324
27,27_0,COMPLETED,Sobol,0.8438825607299805,0.026208236519264242
28,28_0,COMPLETED,Sobol,0.759124755859375,0.0015752606323655594
29,29_0,COMPLETED,Sobol,4.809141159057617,4128.620092941036
30,30_0,COMPLETED,Sobol,1.5317201614379883,3.651081141903054
31,31_0,COMPLETED,Sobol,1.3234615325927734,1.5378509676710175
32,32_0,COMPLETED,Sobol,1.0602474212646484,1.301063804858965
33,33_0,COMPLETED,Sobol,1.5546083450317383,4.952883197968552
34,34_0,COMPLETED,Sobol,4.993200302124023,4880.381509617365
35,35_0,COMPLETED,Sobol,0.9199380874633789,0.0011611694695247558
36,36_0,COMPLETED,Sobol,0.9762048721313477,0.03134772783433069
37,37_0,COMPLETED,Sobol,3.9271116256713867,182.94294550269228
38,38_0,COMPLETED,Sobol,3.997206687927246,82.39707263021225
39,39_0,COMPLETED,Sobol,0.737309455871582,0.07727873004408126
40,40_0,COMPLETED,Sobol,1.0573863983154297,0.3322826650782107
41,41_0,COMPLETED,Sobol,2.9726028442382812,47.257289227670434
42,42_0,COMPLETED,Sobol,4.879117012023926,873.7176600494571
43,43_0,COMPLETED,Sobol,0.8996725082397461,0.019959923620427623
44,44_0,COMPLETED,Sobol,0.994563102722168,0.0056100797167082
45,45_0,COMPLETED,Sobol,4.791259765625,3145.0665253620828
46,46_0,COMPLETED,Sobol,2.3990869522094727,21.051445604830217
47,47_0,COMPLETED,Sobol,1.1676549911499023,0.7372471767893256
48,48_0,COMPLETED,Sobol,1.1639595031738281,0.6133363216244101
49,49_0,COMPLETED,Sobol,2.0068883895874023,10.604055266782089
50,50_0,COMPLETED,BoTorch,0.9595155715942383,0.001
51,51_0,COMPLETED,BoTorch,0.8146762847900391,0.0025995918608141674
52,52_0,COMPLETED,BoTorch,0.9336471557617188,0.004262872285063423
53,53_0,COMPLETED,BoTorch,0.8485317230224609,0.00924672014366742
54,54_0,COMPLETED,BoTorch,0.8907318115234375,0.041044015179438585
55,55_0,COMPLETED,BoTorch,0.9419918060302734,0.0021980881241273993
56,56_0,COMPLETED,BoTorch,0.8925199508666992,0.03614073388003853
57,57_0,COMPLETED,BoTorch,1.0867118835449219,0.10076416899884041
58,58_0,COMPLETED,BoTorch,0.9870529174804688,0.004947253486907391
59,59_0,COMPLETED,BoTorch,0.901341438293457,0.017547716689958037
60,60_0,COMPLETED,BoTorch,0.86212158203125,0.0013539771099744698
61,61_0,COMPLETED,BoTorch,0.8405447006225586,0.0076650029342429146
62,62_0,COMPLETED,BoTorch,1.076340675354004,0.010549255700232268
63,50_0,COMPLETED,BoTorch,0.9577274322509766,0.001
64,64_0,COMPLETED,BoTorch,0.8453130722045898,0.002952886976720934
65,65_0,COMPLETED,BoTorch,0.9918212890625,0.022642003024355446
66,50_0,COMPLETED,BoTorch,0.8536577224731445,0.001
67,67_0,COMPLETED,BoTorch,1.0284185409545898,0.003652086294793867
68,50_0,COMPLETED,BoTorch,0.8128881454467773,0.001
69,69_0,COMPLETED,BoTorch,0.9059906005859375,0.06498401171707707
70,50_0,COMPLETED,BoTorch,1.009225845336914,0.001
71,50_0,COMPLETED,BoTorch,0.9350776672363281,0.001
72,50_0,COMPLETED,BoTorch,0.8521080017089844,0.001
73,50_0,COMPLETED,BoTorch,0.8653402328491211,0.001
74,50_0,COMPLETED,BoTorch,0.8351802825927734,0.001
75,75_0,COMPLETED,BoTorch,0.9084939956665039,0.0017365936561112472
76,50_0,COMPLETED,BoTorch,0.9405612945556641,0.001
77,77_0,COMPLETED,BoTorch,1.0724067687988281,0.047742010739327996
78,50_0,COMPLETED,BoTorch,0.8313655853271484,0.001
79,50_0,COMPLETED,BoTorch,0.8711814880371094,0.001
80,50_0,COMPLETED,BoTorch,0.8283853530883789,0.001
81,50_0,COMPLETED,BoTorch,0.9115934371948242,0.001
82,50_0,COMPLETED,BoTorch,0.8223056793212891,0.001
83,50_0,COMPLETED,BoTorch,0.9901523590087891,0.001
84,84_0,COMPLETED,BoTorch,0.8854866027832031,0.002058937198530663
85,50_0,COMPLETED,BoTorch,0.7803440093994141,0.001
86,50_0,COMPLETED,BoTorch,0.8752346038818359,0.001
87,50_0,COMPLETED,BoTorch,0.9416341781616211,0.001
88,50_0,COMPLETED,BoTorch,0.69427490234375,0.001
89,50_0,COMPLETED,BoTorch,0.8814334869384766,0.001
