trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.5398072004318237,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.4636438488960266,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.5481336116790771,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.6834985017776489,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.6806044578552246,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.27577725052833557,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.2824523448944092,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.6500735878944397,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.6524415612220764,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.42405974864959717,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.2814924418926239,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.7027296423912048,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.6790782809257507,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.4841655492782593,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.4485028088092804,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.6192144155502319,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.5868822336196899,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.4446341097354889,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.4946752190589905,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.6580806374549866,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.6956242918968201,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.41813012957572937,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.36240196228027344,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.6391474008560181,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.6862398386001587,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.33203840255737305,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.23626141250133514,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.6829968690872192,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.7013707160949707,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.5355290770530701,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.5003986954689026,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.5633115172386169,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.5765343308448792,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.49868881702423096,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.5350056290626526,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.6547301411628723,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.6898281574249268,0.03134772783433069
37,37_0,COMPLETED,Sobol,-0.26321807503700256,182.94294550269228
38,38_0,COMPLETED,Sobol,-0.3485301733016968,82.39707263021225
39,39_0,COMPLETED,Sobol,-0.6858134865760803,0.07727873004408126
40,40_0,COMPLETED,Sobol,-0.6211621165275574,0.3322826650782107
41,41_0,COMPLETED,Sobol,-0.3856213688850403,47.257289227670434
42,42_0,COMPLETED,Sobol,-0.40400853753089905,873.7176600494571
43,43_0,COMPLETED,Sobol,-0.6940603256225586,0.019959923620427623
