trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.6501825451850891,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.5447471737861633,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.6146648526191711,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.7014324069023132,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.689114511013031,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.16704346239566803,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.15472011268138885,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.6786744594573975,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.6928995251655579,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.1960550993680954,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.1922081708908081,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.678480863571167,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.6705229878425598,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.30465710163116455,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.3997576832771301,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.6844305396080017,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.6571405529975891,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.3155272305011749,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.37329795956611633,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.6952574849128723,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.7011486291885376,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.226355642080307,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.1490689069032669,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.6788945198059082,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.6761977672576904,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.14692851901054382,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.15376317501068115,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.6911522150039673,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.6813764572143555,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.528271496295929,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.6529217958450317,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.6778955459594727,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.6648564338684082,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.621872067451477,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.5457831621170044,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.6915069818496704,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.6829861402511597,0.03134772783433069
37,37_0,COMPLETED,Sobol,-0.1472465693950653,182.94294550269228
38,38_0,COMPLETED,Sobol,-0.141133114695549,82.39707263021225
39,39_0,COMPLETED,Sobol,-0.7046233415603638,0.07727873004408126
40,40_0,COMPLETED,Sobol,-0.6724955439567566,0.3322826650782107
41,41_0,COMPLETED,Sobol,-0.16405296325683594,47.257289227670434
42,42_0,COMPLETED,Sobol,-0.2223498374223709,873.7176600494571
43,43_0,COMPLETED,Sobol,-0.6665214896202087,0.019959923620427623
44,44_0,COMPLETED,Sobol,-0.6959186792373657,0.0056100797167082
45,45_0,COMPLETED,Sobol,-0.4721356928348541,3145.0665253620828
46,46_0,COMPLETED,Sobol,-0.21581363677978516,21.051445604830217
47,47_0,COMPLETED,Sobol,-0.6572062373161316,0.7372471767893256
48,48_0,COMPLETED,Sobol,-0.6691375970840454,0.6133363216244101
49,49_0,COMPLETED,Sobol,-0.47737598419189453,10.604055266782089
50,50_0,COMPLETED,BoTorch,-0.1452741026878357,115.6947501530137
51,51_0,COMPLETED,BoTorch,-0.151109978556633,157.8848904663598
52,52_0,COMPLETED,BoTorch,-0.1607203334569931,54.25335042894737
53,53_0,COMPLETED,BoTorch,-0.1456489861011505,73.34352582999026
54,54_0,COMPLETED,BoTorch,-0.14974676072597504,90.1664649019629
55,55_0,COMPLETED,BoTorch,-0.16316503286361694,211.2626545890062
56,56_0,COMPLETED,BoTorch,-0.14038527011871338,107.42378835101417
57,57_0,COMPLETED,BoTorch,-0.14963196218013763,124.57055147616522
58,58_0,COMPLETED,BoTorch,-0.14841537177562714,143.76365934860655
59,59_0,COMPLETED,BoTorch,-0.16502852737903595,42.08158250685211
