trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.619097113609314,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.676019549369812,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.7046458125114441,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.49356845021247864,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.4483049511909485,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.690340518951416,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.7065829038619995,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.5257570743560791,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.4972417950630188,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.6837007403373718,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.7333976030349731,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.4640938937664032,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.4649929106235504,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.6910473108291626,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.665652871131897,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.46180805563926697,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.5628464221954346,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.6869290471076965,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.6947846412658691,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.48803988099098206,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.4329512119293213,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.7331385612487793,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.6680430173873901,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.5094422101974487,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.44089534878730774,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.6812604069709778,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.725730836391449,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.5144442319869995,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.51966392993927,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.707209050655365,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.645484209060669,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.6024537682533264,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.5953747034072876,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.649941086769104,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.6963088512420654,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.49835941195487976,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.46794256567955017,0.03134772783433069
37,37_0,COMPLETED,Sobol,-0.6836681365966797,182.94294550269228
38,38_0,COMPLETED,Sobol,-0.6699181199073792,82.39707263021225
39,39_0,COMPLETED,Sobol,-0.5144705772399902,0.07727873004408126
40,40_0,COMPLETED,Sobol,-0.5482207536697388,0.3322826650782107
41,41_0,COMPLETED,Sobol,-0.6877376437187195,47.257289227670434
42,42_0,COMPLETED,Sobol,-0.742416262626648,873.7176600494571
43,43_0,COMPLETED,Sobol,-0.42947521805763245,0.019959923620427623
44,44_0,COMPLETED,Sobol,-0.4977116286754608,0.0056100797167082
45,45_0,COMPLETED,Sobol,-0.7159274816513062,3145.0665253620828
46,46_0,COMPLETED,Sobol,-0.6810852885246277,21.051445604830217
47,47_0,COMPLETED,Sobol,-0.5415326356887817,0.7372471767893256
48,48_0,COMPLETED,Sobol,-0.5365864634513855,0.6133363216244101
49,49_0,COMPLETED,Sobol,-0.661877453327179,10.604055266782089
50,50_0,COMPLETED,BoTorch,-0.49169665575027466,0.038791534965575934
51,51_0,COMPLETED,BoTorch,-0.49356842041015625,0.009116836576903643
52,52_0,COMPLETED,BoTorch,-0.46134698390960693,0.022340433043200884
53,53_0,COMPLETED,BoTorch,-0.5102665424346924,0.01753481924100225
54,54_0,COMPLETED,BoTorch,-0.5043695569038391,0.001
55,55_0,COMPLETED,BoTorch,-0.43387335538864136,0.010806789133422017
56,56_0,COMPLETED,BoTorch,-0.5034207105636597,0.04328703138087666
57,57_0,COMPLETED,BoTorch,-0.45431774854660034,0.007875331006109106
58,58_0,COMPLETED,BoTorch,-0.46681126952171326,0.013430969656907559
59,59_0,COMPLETED,BoTorch,-0.4790382385253906,0.016312092283236646
60,60_0,COMPLETED,BoTorch,-0.48264700174331665,0.00472483547761427
61,61_0,COMPLETED,BoTorch,-0.5184839367866516,0.02449682776952085
62,62_0,COMPLETED,BoTorch,-0.44541090726852417,0.029011514251325924
63,63_0,COMPLETED,BoTorch,-0.460731565952301,0.00979479743953837
64,64_0,COMPLETED,BoTorch,-0.46625375747680664,0.03480982062870956
65,65_0,COMPLETED,BoTorch,-0.4673551619052887,0.01145137280545431
66,66_0,COMPLETED,BoTorch,-0.49114030599594116,0.007336708042592474
67,67_0,COMPLETED,BoTorch,-0.45588740706443787,0.01882357893798648
68,68_0,COMPLETED,BoTorch,-0.473085880279541,0.021247723952185275
69,69_0,COMPLETED,BoTorch,-0.4605480432510376,0.014070340102879993
70,70_0,COMPLETED,BoTorch,-0.46886712312698364,0.015523898712883207
71,71_0,COMPLETED,BoTorch,-0.48848626017570496,0.048261273970421466
72,72_0,COMPLETED,BoTorch,-0.5200414657592773,0.0656090763784771
73,73_0,COMPLETED,BoTorch,-0.5001554489135742,0.004191361627834292
74,74_0,COMPLETED,BoTorch,-0.4176845848560333,0.012776263608707575
75,75_0,COMPLETED,BoTorch,-0.4604826271533966,0.008495535683016503
76,76_0,COMPLETED,BoTorch,-0.4716036021709442,0.010307565375392055
77,77_0,COMPLETED,BoTorch,-0.4996393322944641,0.016917584229728225
78,78_0,COMPLETED,BoTorch,-0.47233954071998596,0.006106564182841169
79,79_0,COMPLETED,BoTorch,-0.5242642164230347,0.08569947414740516
80,80_0,COMPLETED,BoTorch,-0.4589400291442871,0.011136861715899508
81,81_0,COMPLETED,BoTorch,-0.46261292695999146,0.009483209402520058
82,82_0,COMPLETED,BoTorch,-0.4773370623588562,0.018134134830389833
83,83_0,COMPLETED,BoTorch,-0.4729222059249878,0.011830154539422976
84,84_0,COMPLETED,BoTorch,-0.49360594153404236,0.0026511759693561582
85,85_0,COMPLETED,BoTorch,-0.47861868143081665,0.003475430255014722
86,86_0,COMPLETED,BoTorch,-0.5114290714263916,0.005137921976834939
87,87_0,COMPLETED,BoTorch,-0.44344305992126465,0.013067862704072937
