trial_index,arm_name,trial_status,generation_method,metric,guidance_strength,delta_x0_guidance_strength
0,0_0,COMPLETED,Sobol,-0.5085688233375549,2.1171437703247107,14.04972890470259
1,1_0,COMPLETED,Sobol,-0.4370371103286743,11.25494501613153,0.0018190874717152773
2,2_0,COMPLETED,Sobol,-0.5792965888977051,4515.326712387585,1087.4475756251632
3,3_0,COMPLETED,Sobol,-0.6737149953842163,0.006969555537636039,0.0676231568531294
4,4_0,COMPLETED,Sobol,-0.6583023071289062,0.03196072393898811,6595.91948484407
5,5_0,COMPLETED,Sobol,-0.5050767660140991,946.9135564768425,0.6675225831969028
6,6_0,COMPLETED,Sobol,-0.3293156623840332,156.52310375614704,73.81937040179464
7,7_0,COMPLETED,Sobol,-0.6054883003234863,0.15830968650109772,0.016114384022914603
8,8_0,COMPLETED,Sobol,-0.6439380645751953,0.06389532844088555,323.2467826183495
9,9_0,COMPLETED,Sobol,-0.3528132438659668,63.14439270056794,0.24419238285518258
10,10_0,COMPLETED,Sobol,-0.3969857692718506,312.8449474300653,3.60158114535977
11,11_0,COMPLETED,Sobol,-0.6754859685897827,0.01056462409746768,0.005921282816758441
12,12_0,COMPLETED,Sobol,-0.7140789031982422,0.0022149557478978238,38.538407048305494
13,13_0,COMPLETED,Sobol,-0.5647628903388977,1434.2686992886104,0.03757843338341841
14,14_0,COMPLETED,Sobol,-0.4922017455101013,4.722828150710441,2996.011383190132
15,15_0,COMPLETED,Sobol,-0.5569244027137756,0.8888210463477708,1.3908209821151927
16,16_0,COMPLETED,Sobol,-0.5833244323730469,0.465177140849424,1727.4981456966732
17,17_0,COMPLETED,Sobol,-0.45817136764526367,6.742131117073369,2.1947667010081613
18,18_0,COMPLETED,Sobol,-0.5791776180267334,2740.316142993005,62.698745998478024
19,19_0,COMPLETED,Sobol,-0.6778186559677124,0.0015514728739400355,0.02238249956522298
20,20_0,COMPLETED,Sobol,-0.6846447587013245,0.019478652082477406,6.258836299306231
21,21_0,COMPLETED,Sobol,-0.3052240014076233,209.80943418588666,0.0037448765711997636
22,22_0,COMPLETED,Sobol,-0.3890128433704376,34.249619844937754,198.29325766697872
23,23_0,COMPLETED,Sobol,-0.6501859426498413,0.09527940928186819,0.41080594334018117
24,24_0,COMPLETED,Sobol,-0.609153151512146,0.2919420636465353,128.21749399225214
25,25_0,COMPLETED,Sobol,-0.2968347668647766,104.9925905421032,0.010196691288021056
26,26_0,COMPLETED,Sobol,-0.47888851165771484,513.4466601123999,4048.364579439075
27,27_0,COMPLETED,Sobol,-0.6887170672416687,0.04764426058519628,1.1223813758299823
28,28_0,COMPLETED,Sobol,-0.7122656106948853,0.0036487582011609856,627.3056487970875
29,29_0,COMPLETED,Sobol,-0.5977609157562256,6447.928252570093,0.1066633978202387
30,30_0,COMPLETED,Sobol,-0.40755003690719604,21.499541238900076,22.84699764554201
31,31_0,COMPLETED,Sobol,-0.526746392250061,1.4826719977923462,0.0010839940807778898
32,32_0,COMPLETED,Sobol,-0.5138605833053589,1.5977964329009622,858.4755990051265
33,33_0,COMPLETED,Sobol,-0.42673319578170776,14.908967497976587,0.08837755322255801
34,34_0,COMPLETED,Sobol,-0.6092133522033691,9901.632897746531,10.087212849600622
35,35_0,COMPLETED,Sobol,-0.7142571210861206,0.0031789440474575157,0.0021641349802172527
36,36_0,COMPLETED,Sobol,-0.6578301787376404,0.04251045029764096,106.06651931002281
37,37_0,COMPLETED,Sobol,-0.5111290216445923,711.7622662637816,0.013983460961861814
38,38_0,COMPLETED,Sobol,-0.3405887186527252,71.12405811353854,8101.237097615229
39,39_0,COMPLETED,Sobol,-0.5976094603538513,0.34849233118216666,0.4946306179787207
40,40_0,COMPLETED,Sobol,-0.645778477191925,0.1406510077422903,5.175643987166448
41,41_0,COMPLETED,Sobol,-0.39307230710983276,28.69178279610997,0.005134989014805573
42,42_0,COMPLETED,Sobol,-0.3626880645751953,235.14634335037158,396.66097018798826
43,43_0,COMPLETED,Sobol,-0.6712024211883545,0.014051443526426838,0.18101886757013144
44,44_0,COMPLETED,Sobol,-0.7135301828384399,0.0010103206535163993,2364.3935492897394
45,45_0,COMPLETED,Sobol,-0.565544605255127,3145.293665943994,1.8191777105247426
46,46_0,COMPLETED,Sobol,-0.4481606185436249,6.256323016113067,27.685622670814933
47,47_0,COMPLETED,Sobol,-0.5803242325782776,0.6708132912128238,0.04470192743141406
48,48_0,COMPLETED,Sobol,-0.559234619140625,0.9578690241314501,46.506611095127994
49,49_0,COMPLETED,Sobol,-0.5171031951904297,3.2751607293750626,0.027462760718994672
50,50_0,COMPLETED,BoTorch,-0.3253828287124634,133.46699653689996,0.001
51,51_0,COMPLETED,BoTorch,-0.30466267466545105,127.38464886421743,0.13058052674128373
52,52_0,COMPLETED,BoTorch,-0.32758161425590515,136.315196677986,0.017616074111217378
53,53_0,COMPLETED,BoTorch,-0.2952466607093811,114.87920973889257,1.4490134387100848
54,54_0,COMPLETED,BoTorch,-0.30367493629455566,111.5974307048049,0.18529440360107258
55,55_0,COMPLETED,BoTorch,-0.3433048129081726,131.02564833420888,0.6774451941117188
56,56_0,COMPLETED,BoTorch,-0.31191158294677734,111.71426969721313,0.001
57,57_0,COMPLETED,BoTorch,-0.3212316930294037,120.48569870035492,0.012722311524788534
58,58_0,COMPLETED,BoTorch,-0.3138490319252014,105.00250284697242,8.982049580167304
59,59_0,COMPLETED,BoTorch,-0.3316287696361542,98.10094794343722,0.5215699636093073
