trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.7796359062194824,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.7479641437530518,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.6029523611068726,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.8010910749435425,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.8165375590324402,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.6543998718261719,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.710226833820343,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.8025224208831787,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.8074464797973633,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.7356876134872437,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.6339353919029236,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.8061369061470032,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.8092359900474548,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.5851955413818359,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.7395414710044861,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.8108832240104675,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.7929783463478088,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.7381770610809326,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.6352200508117676,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.8152081966400146,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.7843396663665771,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.613998293876648,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.6826894283294678,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.81218421459198,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.8106938600540161,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.7101172804832458,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.6816005706787109,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.819202184677124,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.8012540340423584,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.6167345643043518,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.767532467842102,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.8048069477081299,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.8103094100952148,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.7670084834098816,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.6095497608184814,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.8071336150169373,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.8116556406021118,0.03134772783433069
37,37_0,COMPLETED,Sobol,-0.6867851614952087,182.94294550269228
38,38_0,COMPLETED,Sobol,-0.6903087496757507,82.39707263021225
39,39_0,COMPLETED,Sobol,-0.7992793321609497,0.07727873004408126
40,40_0,COMPLETED,Sobol,-0.7918469309806824,0.3322826650782107
41,41_0,COMPLETED,Sobol,-0.7201812863349915,47.257289227670434
42,42_0,COMPLETED,Sobol,-0.6194945573806763,873.7176600494571
43,43_0,COMPLETED,Sobol,-0.8099374771118164,0.019959923620427623
44,44_0,COMPLETED,Sobol,-0.7900457382202148,0.0056100797167082
45,45_0,COMPLETED,Sobol,-0.5788766741752625,3145.0665253620828
46,46_0,COMPLETED,Sobol,-0.7367056012153625,21.051445604830217
47,47_0,COMPLETED,Sobol,-0.8231452107429504,0.7372471767893256
48,48_0,COMPLETED,Sobol,-0.8029974102973938,0.6133363216244101
49,49_0,COMPLETED,Sobol,-0.7353878617286682,10.604055266782089
50,50_0,COMPLETED,BoTorch,-0.5758286118507385,10000.0
51,51_0,COMPLETED,BoTorch,-0.6019543409347534,6589.400462457165
52,50_0,COMPLETED,BoTorch,-0.6067295670509338,10000.0
53,53_0,COMPLETED,BoTorch,-0.5620578527450562,5616.005460259938
54,50_0,COMPLETED,BoTorch,-0.593586266040802,10000.0
55,50_0,COMPLETED,BoTorch,-0.6045624017715454,10000.0
56,56_0,COMPLETED,BoTorch,-0.566468358039856,7197.613181977775
57,50_0,COMPLETED,BoTorch,-0.5658143162727356,10000.0
58,50_0,COMPLETED,BoTorch,-0.5734095573425293,10000.0
59,50_0,COMPLETED,BoTorch,-0.5813429951667786,10000.0
60,50_0,COMPLETED,BoTorch,-0.5828816890716553,10000.0
61,50_0,COMPLETED,BoTorch,-0.5699767470359802,10000.0
62,50_0,COMPLETED,BoTorch,-0.6249250173568726,10000.0
63,50_0,COMPLETED,BoTorch,-0.5870709419250488,10000.0
64,50_0,COMPLETED,BoTorch,-0.5580377578735352,10000.0
65,50_0,COMPLETED,BoTorch,-0.5977818369865417,10000.0
66,50_0,COMPLETED,BoTorch,-0.5417091250419617,10000.0
67,50_0,COMPLETED,BoTorch,-0.5888721942901611,10000.0
68,50_0,COMPLETED,BoTorch,-0.5998412370681763,10000.0
69,50_0,COMPLETED,BoTorch,-0.5835809707641602,10000.0
70,50_0,COMPLETED,BoTorch,-0.5939574241638184,10000.0
71,50_0,COMPLETED,BoTorch,-0.5936208963394165,10000.0
72,50_0,COMPLETED,BoTorch,-0.5732049345970154,10000.0
73,50_0,COMPLETED,BoTorch,-0.5807784199714661,10000.0
74,50_0,COMPLETED,BoTorch,-0.6034508943557739,10000.0
75,50_0,COMPLETED,BoTorch,-0.5755633115768433,10000.0
76,50_0,COMPLETED,BoTorch,-0.5835626125335693,10000.0
77,50_0,COMPLETED,BoTorch,-0.563692033290863,10000.0
78,50_0,COMPLETED,BoTorch,-0.6091364622116089,10000.0
79,50_0,COMPLETED,BoTorch,-0.5761668682098389,10000.0
80,50_0,COMPLETED,BoTorch,-0.5892720222473145,10000.0
81,50_0,COMPLETED,BoTorch,-0.5770086050033569,10000.0
82,50_0,COMPLETED,BoTorch,-0.5946281552314758,10000.0
83,50_0,COMPLETED,BoTorch,-0.5521749258041382,10000.0
84,50_0,COMPLETED,BoTorch,-0.574475109577179,10000.0
85,50_0,COMPLETED,BoTorch,-0.578019380569458,10000.0
86,50_0,COMPLETED,BoTorch,-0.5797142386436462,10000.0
87,50_0,COMPLETED,BoTorch,-0.6152363419532776,10000.0
88,50_0,COMPLETED,BoTorch,-0.5664333701133728,10000.0
89,50_0,COMPLETED,BoTorch,-0.5612970590591431,10000.0
90,50_0,COMPLETED,BoTorch,-0.5660359263420105,10000.0
91,50_0,COMPLETED,BoTorch,-0.5577520132064819,10000.0
92,92_0,COMPLETED,BoTorch,-0.5861496329307556,6149.326190211684
93,50_0,COMPLETED,BoTorch,-0.5724220275878906,10000.0
94,50_0,COMPLETED,BoTorch,-0.6267668604850769,10000.0
95,50_0,COMPLETED,BoTorch,-0.5450721383094788,10000.0
96,96_0,COMPLETED,BoTorch,-0.590723991394043,9344.588221361464
97,50_0,COMPLETED,BoTorch,-0.5930495262145996,10000.0
98,50_0,COMPLETED,BoTorch,-0.5733858346939087,10000.0
99,50_0,COMPLETED,BoTorch,-0.5856267213821411,10000.0
100,50_0,COMPLETED,BoTorch,-0.5677796602249146,10000.0
101,50_0,COMPLETED,BoTorch,-0.5844791531562805,10000.0
102,50_0,COMPLETED,BoTorch,-0.560932457447052,10000.0
103,50_0,COMPLETED,BoTorch,-0.5715922713279724,10000.0
104,50_0,COMPLETED,BoTorch,-0.5600375533103943,10000.0
105,50_0,COMPLETED,BoTorch,-0.5834909677505493,10000.0
106,50_0,COMPLETED,BoTorch,-0.5958362817764282,10000.0
107,50_0,COMPLETED,BoTorch,-0.5659916996955872,10000.0
108,50_0,COMPLETED,BoTorch,-0.5703946352005005,10000.0
109,50_0,COMPLETED,BoTorch,-0.5632020235061646,10000.0
110,50_0,COMPLETED,BoTorch,-0.5766322612762451,10000.0
111,50_0,COMPLETED,BoTorch,-0.6030347347259521,10000.0
112,50_0,COMPLETED,BoTorch,-0.5637181401252747,10000.0
113,50_0,COMPLETED,BoTorch,-0.5960490703582764,10000.0
114,50_0,COMPLETED,BoTorch,-0.5824350714683533,10000.0
115,50_0,COMPLETED,BoTorch,-0.570988118648529,10000.0
116,50_0,COMPLETED,BoTorch,-0.566114068031311,10000.0
117,50_0,COMPLETED,BoTorch,-0.5840508341789246,10000.0
118,50_0,COMPLETED,BoTorch,-0.5994174480438232,10000.0
119,50_0,COMPLETED,BoTorch,-0.5559327602386475,10000.0
120,50_0,COMPLETED,BoTorch,-0.598693311214447,10000.0
121,50_0,COMPLETED,BoTorch,-0.5652603507041931,10000.0
122,50_0,COMPLETED,BoTorch,-0.5433300733566284,10000.0
123,50_0,COMPLETED,BoTorch,-0.5584543943405151,10000.0
124,50_0,COMPLETED,BoTorch,-0.6054803133010864,10000.0
125,50_0,COMPLETED,BoTorch,-0.5877928137779236,10000.0
126,50_0,COMPLETED,BoTorch,-0.5584990978240967,10000.0
127,50_0,COMPLETED,BoTorch,-0.5749680399894714,10000.0
128,50_0,COMPLETED,BoTorch,-0.5940324664115906,10000.0
129,50_0,COMPLETED,BoTorch,-0.5861401557922363,10000.0
130,50_0,COMPLETED,BoTorch,-0.5852476954460144,10000.0
131,50_0,COMPLETED,BoTorch,-0.5752549171447754,10000.0
132,50_0,COMPLETED,BoTorch,-0.5753397941589355,10000.0
133,50_0,COMPLETED,BoTorch,-0.5732625722885132,10000.0
134,50_0,COMPLETED,BoTorch,-0.5887778997421265,10000.0
135,50_0,COMPLETED,BoTorch,-0.5977190732955933,10000.0
136,50_0,COMPLETED,BoTorch,-0.587812066078186,10000.0
137,50_0,COMPLETED,BoTorch,-0.5300549268722534,10000.0
138,50_0,COMPLETED,BoTorch,-0.6200700998306274,10000.0
139,50_0,COMPLETED,BoTorch,-0.5944019556045532,10000.0
140,50_0,COMPLETED,BoTorch,-0.602604329586029,10000.0
141,50_0,COMPLETED,BoTorch,-0.5951494574546814,10000.0
142,50_0,COMPLETED,BoTorch,-0.5970901846885681,10000.0
143,50_0,COMPLETED,BoTorch,-0.5823448896408081,10000.0
144,50_0,COMPLETED,BoTorch,-0.5809634327888489,10000.0
145,50_0,COMPLETED,BoTorch,-0.5780310034751892,10000.0
146,50_0,COMPLETED,BoTorch,-0.5809639692306519,10000.0
147,50_0,COMPLETED,BoTorch,-0.5533314347267151,10000.0
148,50_0,COMPLETED,BoTorch,-0.5835133790969849,10000.0
149,50_0,COMPLETED,BoTorch,-0.5557732582092285,10000.0
