trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.5744660496711731,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.5259484052658081,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.6732823848724365,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.6747791767120361,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.6875674724578857,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.31363487243652344,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.33620184659957886,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.6690070033073425,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.6633017063140869,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.41303178668022156,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.3313383460044861,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.6826848983764648,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.6866388916969299,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.4728759527206421,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.4876781702041626,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.6744601130485535,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.6518039107322693,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.4719911813735962,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.5043038725852966,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.6647776961326599,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.7050145864486694,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.41057026386260986,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.3812815845012665,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.6771389245986938,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.673940896987915,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.34300580620765686,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.2915651500225067,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.6911447048187256,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.6931184530258179,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.6206367015838623,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.5820854306221008,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.6207118630409241,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.6300969123840332,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.5576328635215759,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.6455405354499817,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.696807861328125,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.6838797926902771,0.03134772783433069
37,37_0,COMPLETED,Sobol,-0.3079376220703125,182.94294550269228
