trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.6765519976615906,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.6597063541412354,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.5298703908920288,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.6853582859039307,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.6793444156646729,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.3518984913825989,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.43462640047073364,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.6834613680839539,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.6937656998634338,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.5913046002388,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.34106534719467163,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.6735917329788208,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.6751755475997925,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.3608473837375641,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.641004741191864,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.6725738048553467,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.6996973156929016,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.6333017349243164,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.3794926106929779,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.7127814292907715,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.6898422241210938,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.3388558328151703,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.4630436301231384,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.7001568675041199,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.7000299096107483,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.422065794467926,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.35327354073524475,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.6746698617935181,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.6790743470191956,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.4081926643848419,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.659694254398346,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.6842235326766968,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.6784045696258545,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.6564540863037109,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.4106416702270508,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.7119302153587341,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.6992473602294922,0.03134772783433069
37,37_0,COMPLETED,Sobol,-0.4050184190273285,182.94294550269228
38,38_0,COMPLETED,Sobol,-0.44736313819885254,82.39707263021225
39,39_0,COMPLETED,Sobol,-0.6815081834793091,0.07727873004408126
40,40_0,COMPLETED,Sobol,-0.6800571084022522,0.3322826650782107
41,41_0,COMPLETED,Sobol,-0.5184375047683716,47.257289227670434
42,42_0,COMPLETED,Sobol,-0.34502077102661133,873.7176600494571
43,43_0,COMPLETED,Sobol,-0.6780041456222534,0.019959923620427623
44,44_0,COMPLETED,Sobol,-0.7004736661911011,0.0056100797167082
45,45_0,COMPLETED,Sobol,-0.3905438184738159,3145.0665253620828
46,46_0,COMPLETED,Sobol,-0.6240759491920471,21.051445604830217
47,47_0,COMPLETED,Sobol,-0.6859585046768188,0.7372471767893256
48,48_0,COMPLETED,Sobol,-0.688809871673584,0.6133363216244101
49,49_0,COMPLETED,Sobol,-0.6445677876472473,10.604055266782089
50,50_0,COMPLETED,BoTorch,-0.32790201902389526,677.9854628320113
51,51_0,COMPLETED,BoTorch,-0.3473346531391144,594.3752791508527
52,52_0,COMPLETED,BoTorch,-0.32626184821128845,766.2029446579415
53,53_0,COMPLETED,BoTorch,-0.33531099557876587,456.8262495146107
54,54_0,COMPLETED,BoTorch,-0.333304762840271,630.0618823546063
55,55_0,COMPLETED,BoTorch,-0.3426002860069275,555.6300496924846
56,56_0,COMPLETED,BoTorch,-0.33886954188346863,721.3649733034636
57,57_0,COMPLETED,BoTorch,-0.37539276480674744,1189.6862578232492
58,58_0,COMPLETED,BoTorch,-0.3339575529098511,489.8988771373741
59,59_0,COMPLETED,BoTorch,-0.3476383686065674,426.16426934317474
60,60_0,COMPLETED,BoTorch,-0.3396548628807068,653.5130859022612
61,61_0,COMPLETED,BoTorch,-0.3404468297958374,574.9845224701018
62,62_0,COMPLETED,BoTorch,-0.3294558823108673,394.02221040143365
63,63_0,COMPLETED,BoTorch,-0.33083781599998474,539.7185859421369
64,64_0,COMPLETED,BoTorch,-0.3503229320049286,473.52914308417456
65,65_0,COMPLETED,BoTorch,-0.3339179754257202,609.9955717303169
66,66_0,COMPLETED,BoTorch,-0.31569862365722656,504.1089956494231
67,67_0,COMPLETED,BoTorch,-0.3394320607185364,443.124716508358
68,68_0,COMPLETED,BoTorch,-0.3341197371482849,700.5871106290879
69,69_0,COMPLETED,BoTorch,-0.3361528217792511,809.7696421919413
70,70_0,COMPLETED,BoTorch,-0.3543925881385803,529.7565490044288
71,71_0,COMPLETED,BoTorch,-0.3342630863189697,744.2980431777323
72,72_0,COMPLETED,BoTorch,-0.34627798199653625,1133.6318134474939
73,73_0,COMPLETED,BoTorch,-0.33908557891845703,642.7509649984794
74,74_0,COMPLETED,BoTorch,-0.337383508682251,959.7077960630938
75,75_0,COMPLETED,BoTorch,-0.34126371145248413,1079.9261990006119
76,76_0,COMPLETED,BoTorch,-0.32814398407936096,663.5315773497684
77,77_0,COMPLETED,BoTorch,-0.3298322260379791,565.0095903907337
78,78_0,COMPLETED,BoTorch,-0.3373608887195587,975.3619743584884
79,79_0,COMPLETED,BoTorch,-0.3596178889274597,587.5373825673113
80,80_0,COMPLETED,BoTorch,-0.3340495824813843,789.1440047326614
81,81_0,COMPLETED,BoTorch,-0.3276892304420471,914.5720822407274
82,82_0,COMPLETED,BoTorch,-0.334981769323349,688.3860062346439
83,83_0,COMPLETED,BoTorch,-0.35142332315444946,370.45629953529914
84,84_0,COMPLETED,BoTorch,-0.33631569147109985,663.5061313847433
85,85_0,COMPLETED,BoTorch,-0.33907121419906616,619.8346948856502
86,86_0,COMPLETED,BoTorch,-0.36811816692352295,839.5041792856617
87,87_0,COMPLETED,BoTorch,-0.34336715936660767,594.4956915732166
88,88_0,COMPLETED,BoTorch,-0.3366568982601166,609.2870544950384
89,89_0,COMPLETED,BoTorch,-0.33855462074279785,578.327532315338
