trial_index,arm_name,trial_status,generation_method,metric,guidance_strength
0,0_0,COMPLETED,Sobol,-0.6494710445404053,2.1171437703247107
1,1_0,COMPLETED,Sobol,-0.6941846013069153,8.334163429552671
2,2_0,COMPLETED,Sobol,-0.717964768409729,8212.638015892508
3,3_0,COMPLETED,Sobol,-0.49366313219070435,0.001889842827262904
4,4_0,COMPLETED,Sobol,-0.5910736918449402,0.052640807202046815
5,5_0,COMPLETED,Sobol,-0.7115113735198975,298.2913265583641
6,6_0,COMPLETED,Sobol,-0.6972548961639404,134.35744070290974
7,7_0,COMPLETED,Sobol,-0.5830727815628052,0.1297940657513337
8,8_0,COMPLETED,Sobol,-0.5852258801460266,0.2038020965437322
9,9_0,COMPLETED,Sobol,-0.6892863512039185,28.14015706041557
10,10_0,COMPLETED,Sobol,-0.7183878421783447,520.2399975268816
11,11_0,COMPLETED,Sobol,-0.5132318139076233,0.012239997961257472
12,12_0,COMPLETED,Sobol,-0.4571443796157837,0.0033341952368863615
13,13_0,COMPLETED,Sobol,-0.7163270711898804,1932.6460760120394
14,14_0,COMPLETED,Sobol,-0.6980763673782349,12.935384164212955
15,15_0,COMPLETED,Sobol,-0.6316809058189392,0.43808322199747585
16,16_0,COMPLETED,Sobol,-0.6350381374359131,1.0001125684884087
17,17_0,COMPLETED,Sobol,-0.6962590217590332,17.810130577486994
18,18_0,COMPLETED,Sobol,-0.7198176383972168,2318.322549813085
19,19_0,COMPLETED,Sobol,-0.4704429507255554,0.006631580550700104
20,20_0,COMPLETED,Sobol,-0.5377695560455322,0.014887518536951076
21,21_0,COMPLETED,Sobol,-0.7363195419311523,1045.057572541195
22,22_0,COMPLETED,Sobol,-0.6949652433395386,63.35366627198893
23,23_0,COMPLETED,Sobol,-0.6092033386230469,0.2778167170791667
24,24_0,COMPLETED,Sobol,-0.5842440128326416,0.05764449839708752
25,25_0,COMPLETED,Sobol,-0.7046473026275635,98.55082361184009
26,26_0,COMPLETED,Sobol,-0.7122664451599121,245.27393157774324
27,27_0,COMPLETED,Sobol,-0.5456209182739258,0.026208236519264242
28,28_0,COMPLETED,Sobol,-0.481637179851532,0.0015752606323655594
29,29_0,COMPLETED,Sobol,-0.681946337223053,4128.620092941036
30,30_0,COMPLETED,Sobol,-0.6903311014175415,3.651081141903054
31,31_0,COMPLETED,Sobol,-0.6624473929405212,1.5378509676710175
32,32_0,COMPLETED,Sobol,-0.6373969316482544,1.301063804858965
33,33_0,COMPLETED,Sobol,-0.6834550499916077,4.952883197968552
34,34_0,COMPLETED,Sobol,-0.692617654800415,4880.381509617365
35,35_0,COMPLETED,Sobol,-0.5090426802635193,0.0011611694695247558
36,36_0,COMPLETED,Sobol,-0.5759541988372803,0.03134772783433069
37,37_0,COMPLETED,Sobol,-0.7151563167572021,182.94294550269228
38,38_0,COMPLETED,Sobol,-0.6967601776123047,82.39707263021225
39,39_0,COMPLETED,Sobol,-0.5995178818702698,0.07727873004408126
40,40_0,COMPLETED,Sobol,-0.6117767095565796,0.3322826650782107
41,41_0,COMPLETED,Sobol,-0.6792342662811279,47.257289227670434
42,42_0,COMPLETED,Sobol,-0.7284994125366211,873.7176600494571
43,43_0,COMPLETED,Sobol,-0.5667588710784912,0.019959923620427623
44,44_0,COMPLETED,Sobol,-0.5000720024108887,0.0056100797167082
45,45_0,COMPLETED,Sobol,-0.6971393823623657,3145.0665253620828
46,46_0,COMPLETED,Sobol,-0.6870163679122925,21.051445604830217
47,47_0,COMPLETED,Sobol,-0.6290310621261597,0.7372471767893256
48,48_0,COMPLETED,Sobol,-0.61518394947052,0.6133363216244101
49,49_0,COMPLETED,Sobol,-0.6892180442810059,10.604055266782089
50,50_0,COMPLETED,BoTorch,-0.495043009519577,0.003846853084249419
51,51_0,COMPLETED,BoTorch,-0.4596051573753357,0.0027680141393515052
52,52_0,COMPLETED,BoTorch,-0.49945148825645447,0.0030774228233627255
53,53_0,COMPLETED,BoTorch,-0.47456979751586914,0.004516136975865593
54,54_0,COMPLETED,BoTorch,-0.4829273521900177,0.0024137326948323774
55,55_0,COMPLETED,BoTorch,-0.4868992269039154,0.003578141855398893
56,56_0,COMPLETED,BoTorch,-0.48405009508132935,0.001
57,57_0,COMPLETED,BoTorch,-0.46220093965530396,0.002125693860536276
58,58_0,COMPLETED,BoTorch,-0.5000035762786865,0.002594722915997574
59,59_0,COMPLETED,BoTorch,-0.49676114320755005,0.0029108138669593875
60,60_0,COMPLETED,BoTorch,-0.488048791885376,0.0022621109166251446
61,61_0,COMPLETED,BoTorch,-0.4755996763706207,0.0013737847211285382
62,62_0,COMPLETED,BoTorch,-0.4567471444606781,0.004142341261497267
63,63_0,COMPLETED,BoTorch,-0.4712145924568176,0.0031784605641655746
64,64_0,COMPLETED,BoTorch,-0.4996567368507385,0.0017338359972327423
65,65_0,COMPLETED,BoTorch,-0.506163477897644,0.0050844501394688366
