trial_index,arm_name,trial_status,generation_method,metric,guidance_strength,delta_x0_guidance_strength
0,0_0,COMPLETED,Sobol,-0.557620644569397,2.1171437703247107,14.04972890470259
1,1_0,COMPLETED,Sobol,-0.47242164611816406,11.25494501613153,0.0018190874717152773
2,2_0,COMPLETED,Sobol,-0.6866123676300049,4515.326712387585,1087.4475756251632
3,3_0,COMPLETED,Sobol,-0.6837757229804993,0.006969555537636039,0.0676231568531294
4,4_0,COMPLETED,Sobol,-0.4754776358604431,0.03196072393898811,6595.91948484407
5,5_0,COMPLETED,Sobol,-0.5858434438705444,946.9135564768425,0.6675225831969028
6,6_0,COMPLETED,Sobol,-0.3031572103500366,156.52310375614704,73.81937040179464
7,7_0,COMPLETED,Sobol,-0.6614569425582886,0.15830968650109772,0.016114384022914603
8,8_0,COMPLETED,Sobol,-0.40330785512924194,0.06389532844088555,323.2467826183495
9,9_0,COMPLETED,Sobol,-0.38816744089126587,63.14439270056794,0.24419238285518258
10,10_0,COMPLETED,Sobol,-0.33562344312667847,312.8449474300653,3.60158114535977
11,11_0,COMPLETED,Sobol,-0.7069909572601318,0.01056462409746768,0.005921282816758441
12,12_0,COMPLETED,Sobol,-0.5824978947639465,0.0022149557478978238,38.538407048305494
13,13_0,COMPLETED,Sobol,-0.6612794399261475,1434.2686992886104,0.03757843338341841
14,14_0,COMPLETED,Sobol,-0.40038466453552246,4.722828150710441,2996.011383190132
15,15_0,COMPLETED,Sobol,-0.6184784173965454,0.8888210463477708,1.3908209821151927
16,16_0,COMPLETED,Sobol,-0.3815095126628876,0.465177140849424,1727.4981456966732
17,17_0,COMPLETED,Sobol,-0.5268718004226685,6.742131117073369,2.1947667010081613
18,18_0,COMPLETED,Sobol,-0.7073743343353271,2740.316142993005,62.698745998478024
19,19_0,COMPLETED,Sobol,-0.6857979893684387,0.0015514728739400355,0.02238249956522298
20,20_0,COMPLETED,Sobol,-0.6768927574157715,0.019478652082477406,6.258836299306231
21,21_0,COMPLETED,Sobol,-0.3158630430698395,209.80943418588666,0.0037448765711997636
22,22_0,COMPLETED,Sobol,-0.34387722611427307,34.249619844937754,198.29325766697872
23,23_0,COMPLETED,Sobol,-0.665273904800415,0.09527940928186819,0.41080594334018117
24,24_0,COMPLETED,Sobol,-0.4531027674674988,0.2919420636465353,128.21749399225214
25,25_0,COMPLETED,Sobol,-0.35460036993026733,104.9925905421032,0.010196691288021056
26,26_0,COMPLETED,Sobol,-0.45862606167793274,513.4466601123999,4048.364579439075
27,27_0,COMPLETED,Sobol,-0.673017144203186,0.04764426058519628,1.1223813758299823
28,28_0,COMPLETED,Sobol,-0.3601261377334595,0.0036487582011609856,627.3056487970875
29,29_0,COMPLETED,Sobol,-0.7418146133422852,6447.928252570093,0.1066633978202387
